PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
953	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
954	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
954	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-12-03
955	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-12-03
955	FLU2	FLUE BRICK	1.00	UNITS	600	1	2024-12-03
959	FPL	FIREPLCE/MET F	0.00	UNITS	0	1	2024-12-03
960	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
962	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-12-03
962	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-12-03
965	SPR2	WET/CONCEALED	600.00	S.F.	1600	1	2024-12-03
965	SPR1	SPRINKLERS-WET	312.00	S.F.	700	1	2024-12-03
965	GNRA	SV GENERATOR	1.00	UNITS	4100	1	2024-12-03
966	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-12-03
971	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
973	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
