PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
616	GNRA	SV GENERATOR	1.00	UNITS	0	1	2024-12-03
621	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-12-03
625	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-12-03
626	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-12-03
638	FPL1	FIREPLACE 1 ST	1.00	UNITS	2800	2	2024-12-03
638	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	2	2024-12-03
638	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-12-03
639	FPL3	2 STORY CHIM	1.00	UNITS	4600	1	2024-12-03
639	FPL	FIREPLCE/MET F	2.00	UNITS	3200	1	2024-12-03
639	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-12-03
639	SHWR	EXT SHOWER	1.00	UNITS	400	1	2024-12-03
639	HOTT	HOT TUB	1.00	UNITS	3500	1	2024-12-03
645	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
645	HRTH	HEARTH-INC FLU	2.00	UNITS	2900	1	2024-12-03
647	FPLC	1 ST CAMP FPL	1.00	UNITS	1400	1	2024-12-03
648	FPL	FIREPLCE/MET F	2.00	UNITS	3200	1	2024-12-03
649	FPL	FIREPLCE/MET F	2.00	UNITS	2700	1	2024-12-03
649	JAC	JETTUB	1.00	UNITS	1300	1	2024-12-03
651	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
651	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	2	2024-12-03
652	FPLC	1 ST CAMP FPL	1.00	UNITS	1800	1	2024-12-03
655	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-12-03
655	SNA	SAUNA	24.00	S.F.	2700	1	2024-12-03
664	FPLC	1 ST CAMP FPL	1.00	UNITS	2300	1	2024-12-03
667	FPLC	1 ST CAMP FPL	1.00	UNITS	1800	1	2024-12-03
673	FPLC	1 ST CAMP FPL	1.00	UNITS	2000	1	2024-12-03
689	HRTH	HEARTH-INC FLU	3.00	UNITS	3500	1	2024-12-03
689	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-12-03
690	FPL3	2 STORY CHIM	1.00	UNITS	4600	1	2024-12-03
690	HOTT	HOT TUB	1.00	UNITS	3500	1	2024-12-03
691	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
692	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-12-03
692	HRTA	HEARTH-FLDPR	1.00	UNITS	900	1	2024-12-03
694	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-12-03
694	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
696	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-12-03
697	FLU2	FLUE BRICK	1.00	UNITS	600	1	2024-12-03
697	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-12-03
698	HRTH	HEARTH-INC FLU	2.00	UNITS	3200	1	2024-12-03
701	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-12-03
702	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
703	FLU1	FLUE CONCRETE	1.00	UNITS	300	1	2024-12-03
706	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
707	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
708	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
719	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
719	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-12-03
719	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-12-03
723	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-12-03
725	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-12-03
725	FPO	EXTRA FPL OPEN	2.00	UNITS	2000	1	2024-12-03
734	FPL2	1.5 STORY CHIM	1.00	UNITS	3700	1	2024-12-03
736	FPL3	2 STORY CHIM	2.00	UNITS	8700	1	2024-12-03
737	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-12-03
737	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-12-03
737	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-12-03
737	GENR	SV GENERATOR >20KW	1.00	UNITS	14000	1	2024-12-03
738	FPL	FIREPLCE/MET F	1.00	UNITS	1400	1	2024-12-03
739	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-12-03
740	FLU1	FLUE CONCRETE	1.00	UNITS	500	2	2024-12-03
740	FPLD	DELUX FIREPLAC	1.00	UNITS	8900	1	2024-12-03
740	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-12-03
741	FPL2	1.5 STORY CHIM	1.00	UNITS	3000	1	2024-12-03
742	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
743	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-12-03
743	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-12-03
744	FPL2	1.5 STORY CHIM	1.00	UNITS	2700	1	2024-12-03
744	FPO	EXTRA FPL OPEN	1.00	UNITS	700	1	2024-12-03
744	GNRA	SV GENERATOR	1.00	UNITS	3300	1	2024-12-03
746	FPLD	DELUX FIREPLAC	1.00	UNITS	8500	1	2024-12-03
746	FPL1	FIREPLACE 1 ST	1.00	UNITS	3100	1	2024-12-03
748	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-12-03
748	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-12-03
748	GNRA	SV GENERATOR	1.00	UNITS	4300	1	2024-12-03
749	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-12-03
749	GNRA	SV GENERATOR	1.00	UNITS	4500	1	2024-12-03
750	FPL3	2 STORY CHIM	2.00	UNITS	7700	1	2024-12-03
750	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-12-03
750	SAU	SAUNA	64.00	S.F.	6400	1	2024-12-03
751	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-12-03
751	SHR1	SHOWER STALL	1.00	UNITS	800	1	2024-12-03
