PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
942	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
947	FGR3	GARAGE-LOWCOST	 	 	212.00	S.F.	2000	1	2024-12-03
949	SHD1	SHED AVERAGE	 	 	120.00	S.F.	700	1	2024-12-03
949	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
949	BRN3	1 STORY W/LOFT	 	 	1152.00	S.F.	33400	1	2024-12-03
949	FCP	CARPORT	 	 	384.00	S.F.	5400	1	2024-12-03
949	FCP	CARPORT	 	 	384.00	S.F.	5400	1	2024-12-03
949	IMP	IMPLEMENT SHED	 	 	96.00	S.F.	1200	1	2024-12-03
949	IMP	IMPLEMENT SHED	 	 	96.00	S.F.	1200	1	2024-12-03
951	FGR1	GARAGE-AVE	 	 	480.00	S.F.	9200	1	2024-12-03
951	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1300	1	2024-12-03
951	LNT	LEAN-TO	 	 	162.00	S.F.	700	1	2024-12-03
951	SHD1	SHED AVERAGE	 	 	144.00	S.F.	2200	1	2024-12-03
953	SHD1	SHED AVERAGE	 	 	128.00	S.F.	1700	1	2024-12-03
953	PAT1	PATIO-AVG	 	 	120.00	S.F.	700	1	2024-12-03
954	LNT	LEAN-TO	 	 	208.00	S.F.	300	1	2024-12-03
954	FGR1	GARAGE-AVE	 	 	560.00	S.F.	10800	1	2024-12-03
954	SHD3	LOW COST	 	 	138.00	S.F.	400	1	2024-12-03
954	LNT	LEAN-TO	 	 	35.00	S.F.	100	1	2024-12-03
954	SHD2	SHED GOOD	 	 	133.00	S.F.	2900	1	2024-12-03
954	PAT1	PATIO-AVG	 	 	252.00	S.F.	1500	1	2024-12-03
955	FGR1	GARAGE-AVE	 	 	624.00	S.F.	16000	1	2024-12-03
958	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-12-03
958	LNT	LEAN-TO	 	 	32.00	S.F.	100	1	2024-12-03
958	LNT	LEAN-TO	 	 	36.00	S.F.	200	1	2024-12-03
960	BRN4	1 STY LFT&BSMT	 	 	780.00	S.F.	7600	1	2024-12-03
960	MLK	MILK HOUSE	 	 	48.00	S.F.	300	1	2024-12-03
962	LNT	LEAN-TO	 	 	32.00	S.F.	100	1	2024-12-03
963	FGR1	GARAGE-AVE	 	 	308.00	S.F.	5900	1	2024-12-03
963	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
966	BRN3	1 STORY W/LOFT	 	 	648.00	S.F.	9400	1	2024-12-03
967	FGR5	W/LOFT GOOD	 	 	1120.00	S.F.	52400	1	2024-12-03
967	PAVB	SV PAVING SML	 	 	1.00	UNITS	1100	1	2024-12-03
968	BRN1	BARN - 1 STORY	 	 	1120.00	S.F.	20600	1	2024-12-03
968	FGR1	GARAGE-AVE	 	 	576.00	S.F.	13800	1	2024-12-03
969	FGR1	GARAGE-AVE	 	 	624.00	S.F.	12000	1	2024-12-03
969	SHD1	SHED AVERAGE	 	 	120.00	S.F.	1100	1	2024-12-03
969	LNTB	LEAN-TO  FP	 	 	2.00	UNITS	400	1	2024-12-03
969	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
971	SHD1	SHED AVERAGE	 	 	64.00	S.F.	600	1	2024-12-03
971	FCP	CARPORT	 	 	198.00	S.F.	1700	1	2024-12-03
971	FGR5	W/LOFT GOOD	 	 	624.00	S.F.	29200	1	2024-12-03
971	LNT	LEAN-TO	 	 	104.00	S.F.	400	1	2024-12-03
973	SHD2	SHED GOOD	 	 	240.00	S.F.	4800	1	2024-12-03
973	IMP	IMPLEMENT SHED	 	 	120.00	S.F.	1400	1	2024-12-03
974	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-12-03
974	SHD1	SHED AVERAGE	 	 	240.00	S.F.	3600	1	2024-12-03
976	SHP5	W/IMPROV GOOD	 	 	504.00	S.F.	12500	1	2024-12-03
976	FCP	CARPORT	 	 	288.00	S.F.	3000	1	2024-12-03
976	LNT	LEAN-TO	 	 	72.00	S.F.	200	1	2024-12-03
976	SHD1	SHED AVERAGE	 	 	96.00	S.F.	700	1	2024-12-03
976	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
976	PAT1	PATIO-AVG	 	 	77.00	S.F.	500	1	2024-12-03
976	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-12-03
976	LNT	LEAN-TO	 	 	72.00	S.F.	200	1	2024-12-03
977	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-12-03
977	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-12-03
977	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-12-03
979	FGR3	GARAGE-LOWCOST	 	 	532.00	S.F.	7300	1	2024-12-03
979	BRN3	1 STORY W/LOFT	 	 	802.00	S.F.	11600	1	2024-12-03
979	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-12-03
979	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-12-03
982	FGR4	W/LOFT-AVG	 	 	864.00	S.F	9300	1	2024-12-03
983	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-12-03
983	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
983	SHDD	SHED FLDPR	 	 	1.00	UNITS	400	1	2024-12-03
984	FGR3	GARAGE-LOWCOST	 	 	190.00	S.F.	400	1	2024-12-03
984	SHP1	WORK SHOP AVE	 	 	240.00	S.F.	4700	1	2024-12-03
986	FGR4	W/LOFT-AVG	 	 	560.00	S.F	12100	1	2024-12-03
986	LNT	LEAN-TO	 	 	224.00	S.F.	600	1	2024-12-03
986	SHD2	SHED GOOD	 	 	240.00	S.F.	2600	1	2024-12-03
987	BRN1	BARN - 1 STORY	 	 	204.00	S.F.	2300	1	2024-12-03
987	BRN4	1 STY LFT&BSMT	 	 	1674.00	S.F.	35200	1	2024-12-03
987	SHP1	WORK SHOP AVE	 	 	308.00	S.F.	3000	1	2024-12-03
987	SHDE	SHED FLDPR	 	 	1.00	UNITS	500	1	2024-12-03
990	CAB1	CABIN-MINIMAL	 	 	196.00	S.F.	4100	1	2024-12-03
991	FGR3	GARAGE-LOWCOST	 	 	264.00	S.F.	3600	1	2024-12-03
991	FGR1	GARAGE-AVE	 	 	780.00	S.F.	15000	1	2024-12-03
993	SHD1	SHED AVERAGE	 	 	96.00	S.F.	600	1	2024-12-03
993	FGR1	GARAGE-AVE	 	 	960.00	S.F.	24600	1	2024-12-03
996	BRN6	2 STY W/BSMT	 	 	840.00	S.F.	13800	1	2024-12-03
996	DECK	DECK	 	 	136.00	S.F.	1600	1	2024-12-03
996	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
997	PAT1	PATIO-AVG	 	 	130.00	S.F.	800	1	2024-12-03
997	LNT	LEAN-TO	 	 	96.00	S.F.	400	1	2024-12-03
997	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-12-03
997	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
998	LNT	LEAN-TO	 	 	64.00	S.F.	100	1	2024-12-03
998	BRN2	1 STORY W/BSMT	 	 	3486.00	S.F.	25300	1	2024-12-03
998	SHD1	SHED AVERAGE	 	 	64.00	S.F.	300	1	2024-12-03
998	PAVB	SV PAVING SML	 	 	1.00	UNITS	800	1	2024-12-03
1003	SHED	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
1003	FGR5	W/LOFT GOOD	 	 	484.00	S.F.	20100	1	2024-12-03
1003	FNDA	SV FOUNDATION	 	 	1.00	UNITS	11000	1	2024-12-03
1004	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-12-03
1004	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
1005	FGR4	W/LOFT-AVG	 	 	572.00	S.F	18500	1	2024-12-03
1006	SHD1	SHED AVERAGE	 	 	60.00	S.F.	800	1	2024-12-03
1006	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-12-03
1015	SHD2	SHED GOOD	 	 	255.00	S.F.	2200	1	2024-12-03
1015	SHED	SHED FLDPR	 	 	80.00	UNITS	16000	1	2024-12-03
1016	PLT1	PLTRY HSE 1 ST	 	 	392.00	S.F.	2100	1	2024-12-03
1016	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-12-03
1016	LNT	LEAN-TO	 	 	144.00	S.F.	200	1	2024-12-03
1018	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-12-03
1018	LNTA	LEAN-TO  FP	 	 	1.00	UNITS	100	1	2024-12-03
1018	IMP	IMPLEMENT SHED	 	 	192.00	S.F.	1000	1	2024-12-03
1018	LNT	LEAN-TO	 	 	80.00	S.F.	100	1	2024-12-03
1019	FGR1	GARAGE-AVE	 	 	480.00	S.F.	6100	1	2024-12-03
1019	PAT1	PATIO-AVG	 	 	1056.00	S.F.	3800	1	2024-12-03
1020	BRN3	1 STORY W/LOFT	 	 	224.00	S.F.	2600	1	2024-12-03
1020	SHD3	LOW COST	 	 	240.00	S.F.	900	1	2024-12-03
1020	DECK	DECK	 	 	56.00	S.F.	700	1	2024-12-03
1022	BRN3	1 STORY W/LOFT	 	 	1452.00	S.F.	12600	1	2024-12-03
1022	FGR2	GARAGE-GOOD	 	 	600.00	S.F.	23800	3	2024-12-03
1022	IMP	IMPLEMENT SHED	 	 	540.00	S.F.	6300	3	2024-12-03
1022	STB1	STABLE-LC	 	 	792.00	S.F.	5000	1	2024-12-03
1022	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	3	2024-12-03
1022	SHD1	SHED AVERAGE	 	 	224.00	S.F.	1200	1	2024-12-03
1022	STB2	W/IMPROVEMENTS	 	 	800.00	S.F.	17400	1	2024-12-03
1022	IMP	IMPLEMENT SHED	 	 	1008.00	S.F.	11800	1	2024-12-03
1022	IMP	IMPLEMENT SHED	 	 	384.00	S.F.	4500	1	2024-12-03
1022	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-12-03
1023	SHD1	SHED AVERAGE	 	 	144.00	S.F.	1900	1	2024-12-03
1024	IMP	IMPLEMENT SHED	 	 	180.00	S.F.	600	1	2024-12-03
1025	STB2	W/IMPROVEMENTS	 	 	156.00	S.F.	1800	1	2024-12-03
1025	SHD3	LOW COST	 	 	78.00	S.F.	400	1	2024-12-03
1025	LNT	LEAN-TO	 	 	112.00	S.F.	500	1	2024-12-03
