PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
806	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
808	FPL2	1.5 STORY CHIM	1.00	UNITS	3400	1	2024-11-26
809	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
809	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-11-26
810	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
810	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-26
810	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-26
812	FPL3	2 STORY CHIM	1.00	UNITS	3500	1	2024-11-26
812	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
812	GNRA	SV GENERATOR	1.00	UNITS	3800	1	2024-11-26
814	HRTH	HEARTH-INC FLU	1.00	UNITS	1700	1	2024-11-26
815	GNRA	SV GENERATOR	1.00	UNITS	3300	2	2024-11-26
815	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
815	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-11-26
