PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
438	FPL3	2 STORY CHIM	1.00	UNITS	3300	1	2024-11-26
438	FPO	EXTRA FPL OPEN	1.00	UNITS	800	1	2024-11-26
441	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-26
441	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-26
441	SHWR	EXT SHOWER	1.00	UNITS	300	1	2024-11-26
442	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
446	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
446	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
446	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-26
447	FPL1	FIREPLACE 1 ST	1.00	UNITS	2600	1	2024-11-26
448	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
448	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-26
450	FPL2	1.5 STORY CHIM	3.00	UNITS	10100	1	2024-11-26
450	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-26
450	HOTT	HOT TUB	1.00	UNITS	2900	1	2024-11-26
454	FPL3	2 STORY CHIM	1.00	UNITS	3500	1	2024-11-26
454	HRTA	HEARTH-FLDPR	2.00	UNITS	1300	1	2024-11-26
457	FPL3	2 STORY CHIM	2.00	UNITS	8500	1	2024-11-26
457	NFPO	NONFNCTG FPO	4.00	UNITS	2000	1	2024-11-26
457	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-26
457	NFP3	NONFCTG FPL3	2.00	UNITS	4700	1	2024-11-26
458	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
460	FPL3	2 STORY CHIM	1.00	UNITS	4200	1	2024-11-26
460	JAC	JETTUB	1.00	UNITS	1400	1	2024-11-26
461	FPL	FIREPLCE/MET F	1.00	UNITS	1700	1	2024-11-26
461	GNRA	SV GENERATOR	1.00	UNITS	5400	1	2024-11-26
462	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
462	FLU2	FLUE BRICK	1.00	UNITS	600	1	2024-11-26
469	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
472	FPL3	2 STORY CHIM	2.00	UNITS	7900	1	2024-11-26
472	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-11-26
472	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
473	FPL3	2 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
474	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
475	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
475	FPL2	1.5 STORY CHIM	1.00	UNITS	2900	1	2024-11-26
476	FPL2	1.5 STORY CHIM	1.00	UNITS	1600	1	2024-11-26
476	FPO	EXTRA FPL OPEN	1.00	UNITS	400	1	2024-11-26
476	GNRA	SV GENERATOR	1.00	UNITS	1900	1	2024-11-26
476	FPL	FIREPLCE/MET F	1.00	UNITS	1800	2	2024-11-26
479	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-11-26
479	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-26
480	HRTH	HEARTH-INC FLU	2.00	UNITS	2400	1	2024-11-26
480	JAC	JETTUB	1.00	UNITS	1100	1	2024-11-26
482	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
484	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
484	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
487	NFP1	NONFCTG FPL1	1.00	UNITS	1100	1	2024-11-26
487	FPL2	1.5 STORY CHIM	1.00	UNITS	2600	1	2024-11-26
488	FPL3	2 STORY CHIM	2.00	UNITS	8000	1	2024-11-26
488	NFPO	NONFNCTG FPO	2.00	UNITS	1000	1	2024-11-26
488	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-26
490	FLU1	FLUE CONCRETE	1.00	UNITS	500	1	2024-11-26
492	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
493	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
493	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-26
494	FPL3	2 STORY CHIM	1.00	UNITS	4900	1	2024-11-26
494	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-11-26
495	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-26
495	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
505	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
