"Municipality
(U) Unincorporated Place",Date,Valuation,"Valuation Including
Utilities",Municipal Tax Rate,"County Tax
Rate","State Education
Tax Rate","Local Education
Tax Rate",Total Tax Rate,Total Commitment
Danville,10/25/23,"568,341,034","588,594,634",4.48,0.75,1.53,18.45,25.21,"14,636,983"
Deerfield,11/07/23,"707,889,402","783,182,602",4.54,0.84,1.65,15.63,22.66,"17,364,434"
Deering,11/13/23,"234,178,022","244,862,022",6.15,1.32,1.78,16.73,25.98,"6,293,098"
Derry,11/14/23,"4,740,374,331","4,803,457,666",5.94,0.66,1.41,12.67,20.68,"98,685,880"
Dix's Grant (U),01/22/24,"1,413,477","1,413,477",-2.60,2.60,1.29,-1.29,0.00,0
Dixville (U),01/22/24,"10,792,829","11,025,329",-9.69,10.78,1.35,-1.32,1.12,"12,035"
Dorchester,11/20/23,"44,993,067","46,007,567",10.34,1.57,1.92,11.99,25.82,"1,176,168"
Dover,12/01/23,"5,656,407,830","5,765,354,530",6.69,1.78,1.26,8.97,18.70,"106,646,982"
Dublin,10/31/23,"279,078,664","282,220,564",7.89,3.72,1.65,14.41,27.67,"7,722,733"
Dummer,11/15/23,"35,131,914","98,607,614",5.55,4.16,1.69,6.70,18.10,"1,668,274"
Dunbarton,10/19/23,"387,073,295","410,451,695",4.42,2.48,1.82,16.85,25.57,"10,392,235"
Durham,10/27/23,"1,753,952,068","1,856,713,268",5.75,1.76,1.39,11.58,20.48,"37,750,649"
East Kingston,11/09/23,"377,791,127","399,850,427",7.12,0.85,1.74,15.48,25.19,"9,960,450"
Easton,11/28/23,"76,647,241","77,783,741",0.72,1.71,1.96,8.50,12.89,"997,255"
Eaton,10/19/23,"144,067,077","145,713,877",5.42,0.91,1.48,5.26,13.07,"1,880,043"
Effingham,11/09/23,"212,226,643","215,621,843",8.87,1.40,1.79,12.63,24.69,"5,263,377"
Ellsworth,10/26/23,"19,175,379","19,479,979",4.46,1.59,1.58,7.38,15.01,"291,013"
Enfield,11/03/23,"592,670,206","600,649,806",8.64,1.70,1.97,14.85,27.16,"16,262,855"
Epping,10/31/23,"986,579,598","1,002,601,698",4.93,0.86,1.74,15.87,23.40,"23,119,501"
Epsom,10/31/23,"512,752,825","519,975,125",3.64,2.23,1.81,16.95,24.63,"12,640,365"
Errol,12/08/23,"126,232,170","136,515,070",3.07,2.99,1.30,2.20,9.56,"1,286,316"
Erving's Grant (U),01/22/24,"58,914","58,914",-2.78,2.78,1.70,-1.70,0.00,0
Exeter,11/02/23,"2,197,986,913","2,242,007,713",6.23,0.96,1.87,17.72,26.78,"59,669,148"
Farmington,11/30/23,"562,913,300","571,763,400",8.04,2.95,1.91,12.76,25.66,"14,370,545"
Fitzwilliam,11/20/23,"436,139,148","506,140,456",3.88,2.41,1.13,9.50,16.92,"8,395,719"
Francestown,10/31/23,"220,638,836","223,461,636",7.97,1.38,1.79,16.74,27.88,"6,190,258"
Franconia,11/22/23,"420,349,925","425,112,325",6.02,1.40,1.47,5.46,14.35,"6,071,360"
Franklin,11/07/23,"1,023,870,550","1,137,815,610",8.76,1.58,1.19,4.73,16.26,"18,236,163"
Freedom,11/08/23,"664,602,035","669,210,235",3.92,1.31,1.90,3.85,10.98,"7,308,472"
Fremont,10/24/23,"551,223,232","557,892,132",4.41,0.87,1.82,16.49,23.59,"12,905,912"
Gilford,11/08/23,"3,482,925,560","3,506,841,980",3.39,0.99,1.20,4.72,10.30,"36,074,076"
Gilmanton,11/21/23,"560,270,674","565,917,874",4.56,1.49,1.83,15.51,23.39,"13,225,534"
Gilsum,11/07/23,"69,348,003","71,796,803",8.11,3.41,1.69,12.82,26.03,"1,860,332"
Goffstown,10/24/23,"2,595,512,800","2,706,202,200",6.50,0.88,1.31,10.17,18.86,"50,448,970"
Gorham,12/05/23,"315,027,707","389,950,607",8.00,3.01,1.26,12.28,24.55,"9,440,384"
Goshen,11/16/23,"83,049,401","85,044,601",9.98,3.03,1.77,6.79,21.57,"1,808,880"
Grafton,10/26/23,"139,967,982","142,365,382",6.74,1.63,1.73,17.20,27.30,"3,839,179"
Grantham,11/03/23,"755,052,785","766,222,685",3.81,2.17,1.33,10.28,17.59,"14,328,930"
Greenfield,10/30/23,"174,052,013","177,313,813",12.07,1.36,1.85,18.62,33.90,"5,963,154"
Greenland,11/09/23,"1,363,262,800","1,398,541,000",2.88,0.63,1.23,7.53,12.27,"16,928,706"
Green's Grant (U),01/22/24,"8,956,790","9,125,290",4.10,3.44,1.54,-1.51,7.57,"68,819"
Greenville,12/01/23,"218,728,230","226,346,430",7.73,0.77,1.08,7.90,17.48,"3,859,308"
Groton,11/15/23,"96,225,077","108,407,837",0.35,2.22,1.44,5.99,10.00,"1,043,035"
Hadley's Purchase (U),01/22/24,1,1,0.00,0.00,0.00,0.00,0.00,0
Hale's Location (U),12/04/23,"82,721,700","83,111,500",1.41,1.03,1.68,-0.24,3.88,"311,617"
Hampstead,11/01/23,"1,354,560,621","1,365,992,621",4.03,0.86,1.82,18.73,25.44,"34,383,046"
Hampton,11/28/23,"3,779,899,500","3,953,299,000",5.98,0.89,1.89,7.99,16.75,"65,871,801"
Hampton Falls,10/30/23,"864,883,727","874,896,527",2.46,0.53,1.09,8.87,12.95,"11,251,895"
Hancock,10/31/23,"292,031,762","299,937,362",7.96,1.19,1.55,13.45,24.15,"7,187,433"
Hanover,11/20/23,"2,705,792,687","2,721,968,787",4.39,1.40,1.52,9.75,17.06,"50,248,091"
Harrisville,11/07/23,"343,213,885","346,509,785",3.89,2.49,1.34,4.84,12.56,"4,341,446"
Hart's Location,01/10/24,"20,481,456","21,158,956",0.46,0.96,1.67,-2.58,0.51,"9,460"
Haverhill,11/13/23,"387,751,123","410,095,123",6.61,1.58,1.59,19.14,28.92,"12,492,321"
Hebron,11/17/23,"402,412,691","408,647,491",2.87,1.15,1.47,0.89,6.38,"2,667,099"
Henniker,11/03/23,"725,487,597","738,395,597",6.93,1.68,1.27,12.50,22.38,"16,411,661"
Hill,11/16/23,"92,859,305","96,003,305",7.38,2.75,1.87,16.24,28.24,"2,684,454"
Hillsborough,11/03/23,"566,855,256","600,153,876",10.40,1.28,1.87,17.67,31.22,"18,698,988"
Hinsdale,11/20/23,"326,092,477","440,315,598",6.93,2.92,1.49,16.72,28.06,"12,108,214"
Holderness,11/07/23,"1,357,342,269","1,394,615,669",1.80,1.00,1.13,4.66,8.59,"11,890,297"
Hollis,11/14/23,"2,274,622,789","2,294,628,789",3.99,0.88,1.23,10.56,16.66,"37,939,658"
Hooksett,12/21/23,"3,054,461,324","3,167,476,924",4.61,1.64,1.24,8.49,15.98,"50,128,305"
Hopkinton,11/20/23,"769,150,002","794,241,202",7.53,2.46,1.82,23.21,35.02,"27,874,094"
Hudson,11/21/23,"4,741,298,156","4,928,386,656",4.71,0.89,1.29,8.79,15.68,"76,238,959"
Jackson,11/06/23,"483,722,381","486,711,781",4.93,1.24,1.87,4.32,12.36,"6,342,956"
Jaffrey,11/03/23,"524,512,173","533,876,473",10.31,3.98,1.98,17.08,33.35,"17,630,988"
Jefferson,11/16/23,"155,864,893","164,777,293",4.33,3.31,1.53,8.77,17.94,"2,936,769"
Keene,11/15/23,"2,120,751,465","2,235,081,865",12.55,3.08,1.57,14.69,31.89,"70,696,962"
Kensington,10/31/23,"659,587,090","679,598,420",2.83,0.53,1.07,8.72,13.15,"8,875,707"
Kilkenny (U),01/23/24,1,"33,500",-2.87,2.87,0.00,0.00,0.00,0
Kingston,11/15/23,"1,303,197,746","1,365,510,246",3.62,0.61,1.21,10.34,15.78,"21,225,153"
Laconia,11/20/23,"3,894,336,975","3,962,320,174",5.79,0.98,1.20,5.94,13.91,"54,598,094"
Lancaster,12/01/23,"419,009,367","445,062,167",6.93,2.59,1.26,6.53,17.31,"7,633,500"
Landaff,11/16/23,"59,073,549","60,482,649",6.17,1.45,1.45,12.93,22.00,"1,323,176"
Langdon,12/13/23,"74,956,985","78,090,285",4.68,2.12,1.41,13.90,22.11,"1,699,158"
Lebanon,11/06/23,"2,624,138,445","2,744,378,645",8.97,1.27,1.51,12.53,24.28,"66,347,250"
Lee,11/17/23,"720,220,316","733,320,216",5.59,2.24,1.50,14.30,23.63,"17,166,206"
Lempster,12/14/23,"124,455,707","128,273,707",5.77,3.82,1.77,15.75,27.11,"3,445,743"
Lincoln,10/24/23,"1,263,856,674","1,275,252,074",5.93,1.54,1.45,2.76,11.68,"14,825,921"
Lisbon,11/14/23,"116,489,285","120,881,485",12.50,1.46,2.23,18.07,34.26,"4,125,205"
Litchfield,10/18/23,"1,159,921,192","1,211,105,492",4.09,1.18,1.71,13.96,20.94,"24,952,005"
Littleton,11/14/23,"652,775,766","727,284,266",5.68,2.08,1.82,12.96,22.54,"16,118,882"
Livermore (U),01/22/24,"189,600","189,600",-0.75,0.75,1.04,-1.04,0.00,0
Londonderry,12/04/23,"5,693,506,476","6,308,922,276",3.47,0.68,1.24,10.26,15.65,"97,003,268"
Loudon,11/27/23,"704,072,632","723,714,232",5.77,2.36,1.57,11.14,20.84,"14,804,763"
Low & Burbank's Grant (U),01/23/24,1,1,0.00,0.00,0.00,0.00,0.00,0
Lyman,11/21/23,"74,611,670","77,046,670",7.85,1.46,1.83,10.46,21.60,"1,637,151"
Lyme,10/26/23,"406,136,900","410,862,100",5.13,1.31,1.61,17.30,25.35,"10,370,746"
Lyndeborough,11/08/23,"218,112,598","220,994,598",8.50,1.11,1.71,12.45,23.77,"5,208,914"
Madbury,10/26/23,"282,558,413","303,447,313",4.64,2.63,1.79,17.91,26.97,"8,095,833"
Madison,10/26/23,"595,143,879","605,501,579",4.72,1.37,1.93,8.96,16.98,"10,962,707"
Manchester,11/15/23,"12,928,025,278","13,303,442,778",8.89,1.06,1.52,7.39,18.86,"249,037,211"
Marlborough,11/13/23,"215,759,716","222,219,116",6.53,2.99,1.49,13.57,24.58,"5,407,221"
Marlow,11/06/23,"73,037,081","74,398,681",6.79,3.94,1.68,16.41,28.82,"2,103,932"
Martin's Location (U),01/22/24,1,"532,000",30.02,3.54,0.00,0.00,33.56,"17,854"
Mason,10/13/23,"208,871,904","214,730,849",8.67,1.09,1.60,12.36,23.72,"5,048,341"
Meredith,11/21/23,"3,830,968,852","3,850,478,052",3.24,1.02,1.23,4.40,9.89,"37,761,608"
Merrimack,11/03/23,"4,798,854,559","4,966,343,359",4.05,1.04,1.49,12.87,19.45,"95,571,519"
Middleton,11/22/23,"356,292,653","361,786,753",4.32,1.58,1.23,7.91,15.04,"5,464,696"
Milan,11/22/23,"133,453,442","151,244,942",1.97,4.20,1.76,13.89,21.82,"3,258,852"
Milford,10/24/23,"2,032,798,141","2,069,867,641",4.93,1.14,1.53,14.57,22.17,"45,587,664"
