Map,Lot-unit,Lot,Unit,MaxLotCoverage,RoadFrontage,LotCoverage,ParcelArea,OverallRating,SepticGPDRating,MaxLotCovRating,RoadFrontageRating,UsedLotCovRating,ParcelAreaRating,NewUnits,ConversionUnits,CollectedOn
201,127,127,,6000,295,1495,55418,3,1,5,2,1,4,0,1,2024-06-22
201,128.2,128,2000,6000,100,0,117964,3,2,5,1,0,5,0,0,2024-06-22
201,13,13,,6000,16,3663,70782,3,2,5,1,2,4,0,2,2024-06-22
201,14,14,,6000,359,4138,82117,3,1,5,3,2,4,0,0,2024-06-22
201,20,20,,6000,100,3264,86696,3,2,5,1,2,4,2,1,2024-06-22
201,23,23,,6000,116,2412,60916,3,1,5,1,2,4,0,0,2024-06-22
201,29,29,,6000,208,5784,95414,3,2,5,2,3,4,0,5,2024-06-22
201,31.1,31,1000,6000,166,4002,135472,3,1,5,2,2,5,0,0,2024-06-22
201,33,33,,6000,107,4310,75569,3,1,5,1,2,4,0,1,2024-06-22
201,34,34,,6000,72,978,70732,3,1,5,1,1,4,0,0,2024-06-22
201,40,40,,6000,101,4169,68147,3,1,5,1,2,4,1,0,2024-06-22
201,43,43,,6000,119,2764,107695,3,1,5,1,2,4,0,0,2024-06-22
201,46,46,,6000,367,2602,53519,3,1,5,3,2,4,0,0,2024-06-22
201,51.1,51,1000,4285,351,4028,52437,3,1,4,3,2,4,0,0,2024-06-22
201,51.2,51,2000,6000,79,2277,88335,3,1,5,1,2,4,1,0,2024-06-22
201,55,55,,6000,170,3525,62314,3,1,5,2,2,4,0,0,2024-06-22
201,6,6,,6000,225,1632,80433,3,2,5,2,1,4,1,0,2024-06-22
201,60,60,,5685,352,4024,47379,3,1,5,3,2,3,0,1,2024-06-22
201,70,70,,6000,91,0,79400,3,1,5,1,0,4,0,0,2024-06-22
201,79.2,79,2000,6000,0,6686,87023,3,2,5,0,3,4,0,1,2024-06-22
201,80,80,,6000,249,0,53106,3,1,5,2,0,4,0,1,2024-06-22
201,87,87,,5167,171,4789,43060,3,1,5,2,3,3,0,0,2024-06-22
201,88,88,,6000,195,3271,102101,3,1,5,2,2,4,0,0,2024-06-22
201,92,92,,6000,204,1314,56048,3,1,5,2,1,4,0,0,2024-06-22
201,94,94,,6000,177,0,102831,3,1,5,2,0,4,0,0,2024-06-22
201,99,99,,6000,350,1688,74720,3,1,5,3,1,4,0,0,2024-06-22
201,102.1,102,1000,6000,623,996,55040,4,1,5,4,1,4,0,1,2024-06-22
201,104,104,,6000,86,0,438917,4,1,5,1,0,5,3,0,2024-06-22
201,11,11,,6000,621,6196,61671,4,2,5,4,3,4,0,4,2024-06-22
201,128.1,128,1000,6000,442,1799,94974,4,2,5,3,1,4,0,0,2024-06-22
201,129,129,,6000,435,2216,74082,4,2,5,3,2,4,0,1,2024-06-22
201,132,132,,6000,316,3800,563848,4,5,5,3,2,5,1,0,2024-06-22
201,134,134,,6000,281,0,431768,4,4,5,2,0,5,0,0,2024-06-22
201,16,16,,6000,406,3634,143712,4,2,5,3,2,5,1,1,2024-06-22
201,21,21,,6000,82,11440,151238,4,3,5,1,4,5,0,2,2024-06-22
201,22,22,,6000,322,3067,169595,4,2,5,3,2,5,2,1,2024-06-22
201,54,54,,6000,429,2764,807890,4,3,5,3,2,5,0,2,2024-06-22
201,61,61,,6000,363,4991,64733,4,2,5,3,3,4,0,4,2024-06-22
201,7,7,,6000,438,1656,107626,4,3,5,3,1,4,2,1,2024-06-22
201,75,75,,6000,214,12262,235860,4,2,5,2,4,5,0,6,2024-06-22
201,79.1,79,1000,6000,763,2012,1070155,4,3,5,4,1,5,1,1,2024-06-22
201,81,81,,6000,1238,4032,244903,4,3,4,5,2,5,2,0,2024-06-22
201,83,83,,6000,813,14454,183692,4,2,5,4,4,5,5,0,2024-06-22
201,84,84,,6000,366,1164,62829,4,2,5,3,1,4,1,0,2024-06-22
201,9,9,,6000,313,2092,137578,4,1,5,3,1,5,0,1,2024-06-22
403,47,47,,6000,1631,0,922051,0,5,5,5,0,5,0,0,2024-06-22
403,5,5,,6000,2494,0,1745713,0,5,5,5,0,5,0,0,2024-06-22
403,54,54,,6000,942,22852,1779677,0,5,5,4,4,5,0,0,2024-06-22
403,53,53,,6000,765,2281,252498,4,1,5,4,2,5,0,0,2024-06-22
408,25,25,,6000,1005,8535,391753,0,4,5,5,4,5,0,0,2024-06-22
408,3,3,,2818,272,856,59406,2,1,3,2,1,4,0,0,2024-06-22
408,26,26,,6000,0,0,396707,3,3,5,0,0,5,4,0,2024-06-22
408,2,2,,6000,701,7490,1812945,4,4,5,4,3,5,0,2,2024-06-22
408,30,30,,6000,664,3162,1074527,5,5,5,4,2,5,0,0,2024-06-22
