Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Bethlehem,2022,944515,0,0,0,0,42399325,4948719,182932257,5099600,47487881,0,0,114800,0,8699900,335600,0,292962597,150000,292812597,0,1100000,28100,291684497,6955032,90000,6865032,23.89,0,2024-03-19
Boscawen,2022,833373,0,0,700,0,99625800,8248600,153223724,7175700,23067900,17776,0,0,968500,9308400,0,0,302470473,0,302470473,14400,252800,552600,301650673,9328351,88000,9240351,30.97,0,2024-03-19
Bow,2022,310382,0,0,2700,0,277177103,63389050,723065941,0,151960131,91600,0,1137100,5181048,97592925,79300,0,1319987280,84549,1319902731,0,5146000,1011800,1313744931,34339040,248000,34091040,26.52,0,2024-03-19
Bradford,2022,1129912,0,0,0,0,96548900,3571500,134642500,1197400,11381600,0,0,0,0,4364700,0,0,252836512,0,252836512,0,380000,140475,252316037,6224227,47400,6176827,24.69,0,2024-03-19
Brentwood,2022,684143,0,0,0,0,185214950,30341855,426837742,1368975,61199690,21150,0,0,898200,25210000,0,0,731776705,0,731776705,125000,840000,125000,730686705,16151554,106500,16045054,22.15,0,2024-03-19
Bridgewater,2022,551000,0,0,0,0,211608000,7476200,220608100,2669900,9542100,0,0,0,0,6843500,0,0,459298800,0,459298800,0,70000,0,459228800,3784608,5650,3778958,8.26,0,2024-03-19
Bristol,2022,327304,0,0,0,0,175150700,18291300,293866800,14108900,40434100,0,0,0,0,17814100,0,0,559993204,5500,559987704,120000,415000,200900,559251804,11715893,108000,11607893,20.99,0,2024-03-19
Brookfield,2022,743491,0,0,0,0,38036000,264700,89239684,273100,797000,0,0,0,0,1608100,0,0,130962075,0,130962075,0,120000,90000,130752075,2512336,17950,2494386,19.23,0,2024-03-19
Brookline,2022,393115,836,2546,0,0,232729300,12136200,427635569,884400,20404000,0,0,0,0,9817900,0,0,704003866,0,704003866,40000,7531300,1556300,694876266,20638567,211000,20427567,29.72,0,2024-03-19
Cambridge,2022,862995,0,0,0,0,5385800,50000,2721370,38180,75830,0,0,0,0,231900,0,0,9366075,0,9366075,0,0,0,9366075,29646,,29646,3.20,0,2024-03-19
Campton,2022,807282,0,0,0,0,130905300,9094500,268479200,8852800,21018900,0,0,7200,0,13483300,0,0,452648482,0,452648482,45000,1889800,702900,450010782,11354100,128500,11225600,25.27,0,2024-03-19
Canaan,2022,1730317,0,0,1250,0,182200300,11648200,175427203,24232100,51722800,8592,0,0,0,7248000,0,0,454218762,150000,454068762,0,2173000,1398950,450496812,12222218,43200,12179018,27.15,0,2024-03-19
