Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Hinsdale,2022,805829,0,0,0,0,58630973,14569296,181235108,28820398,41419920,0,0,0,0,115335638,0,0,440817162,0,440817162,0,565300,120000,440131862,12167363,74300,12093063,27.98,0,2024-03-19
Holderness,2022,892992,44841,0,600,0,490262400,24318200,350033230,18129200,75401600,18872,0,0,0,20593700,0,0,979695635,150000,979545635,15000,75300,582951,978872384,10956384,47500,10908884,11.22,"5,000",2024-03-19
Hollis,2022,715668,0,0,0,0,509017064,16877605,865772374,4799100,46554950,0,0,487100,161400,14567800,0,0,1458953061,753200,1458199861,30000,7927600,181700,1450060561,32707172,264250,32442922,22.57,0,2024-03-19
Hooksett,2022,336262,0,0,0,0,393865305,185477545,1046624332,26887700,358297540,0,0,907700,25148500,67125600,0,0,2104670484,824900,2103845584,250000,17107231,600,2086487753,49907447,255800,49651647,24.05,0,2024-03-19
Hopkinton,2022,1725398,0,16482,21130,0,195836300,9490800,502529866,15450700,51487000,275534,0,0,0,29657800,0,0,806491010,727182,805763828,180000,9919700,831849,794832279,25464104,190200,25273904,32.25,0,2024-03-19
Hudson,2022,327126,0,359,0,0,1056143126,320412052,2704036502,18267000,514186136,0,0,0,26971800,159221900,0,0,4799566001,448500,4799117501,1694000,25853700,3554682,4768015119,69852224,790500,69061724,14.69,0,2024-03-19
Jackson,2022,357220,1385,0,0,0,145215200,8701100,287721300,84300,35085400,0,0,0,0,3428200,0,0,480594105,0,480594105,0,57750,263650,480272705,5230516,29250,5201266,10.90,0,2024-03-19
Jaffrey,2022,964307,0,0,600,0,117253682,11827694,351738384,4895800,59425205,52200,0,0,0,9590500,0,0,555748372,0,555748372,45000,1134300,124000,554445072,16435914,150450,16285464,30.98,0,2024-03-19
Jefferson,2022,1087059,0,0,0,0,45003000,2117500,91169300,4274800,11617100,0,0,0,2690400,6453600,0,0,164412759,0,164412759,0,375000,0,164037759,3033293,5700,3027593,18.56,0,2024-03-19
Keene,2022,874300,0,0,0,0,251504900,165432600,1108694500,15330600,608666200,0,0,0,9258400,109881200,0,0,2269642700,211200,2269431500,288000,4619800,4237700,2260286000,68689256,371400,68317856,31.03,0,2024-03-19
Kensington,2022,546424,14888,0,2100,0,170299500,3590700,201445999,946600,12469300,155680,0,0,1191700,17608869,0,0,408271760,0,408271760,0,3324300,1029000,403918460,7995876,38600,7957276,19.86,0,2024-03-19
Kilkenny,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25100,0,0,25100,0,25100,0,0,0,25100,0,,0,0.00,0,2024-03-19
Kingston,2022,291353,0,0,200,0,209310400,26628500,516716377,4530700,70680700,89423,0,208000,649200,43036500,0,0,872141353,0,872141353,30000,2460000,1565000,868086353,19651913,173700,19478213,22.71,0,2024-03-19
Laconia,2022,285327,5044,0,0,0,1093388348,88920848,1961073535,46061468,226501893,0,0,188281,19817144,43359225,0,0,3479601113,0,3479601113,480000,4120000,0,3475001113,51041487,429200,50612287,14.85,0,2024-03-19
Lancaster,2022,1696764,164,0,8700,0,45585900,16982800,151096048,4300400,50671000,26252,0,0,1782800,12822400,0,0,284973228,0,284973228,15000,168400,282700,284507128,6891982,37300,6854682,24.29,0,2024-03-19
Landaff,2022,880561,0,0,0,0,18475200,260000,37677117,808600,482500,0,0,0,0,1871800,0,0,60455778,0,60455778,0,15000,0,60440778,1371723,5800,1365923,22.73,0,2024-03-19
Langdon,2022,897328,0,0,0,0,22636100,1419500,43953930,1018640,3903080,0,0,0,0,2028520,0,0,75857098,0,75857098,0,205300,0,75651798,1693781,21500,1672281,22.42,0,2024-03-19
Lebanon,2022,1139876,0,0,200,0,325510636,444912856,1028290150,9259700,853602385,22700,0,0,0,124485768,0,0,2787224271,440267,2786784004,21000,15075544,2978400,2768709060,62920603,100000,62820603,23.04,0,2024-03-19
Lee,2022,919287,29193,0,1800,0,267609000,36248600,351465541,12296600,62621000,43759,0,176400,0,15285300,0,0,746696480,1500,746694980,30000,10445000,0,736219980,15973536,90900,15882636,21.72,0,2024-03-19
Lempster,2022,904486,0,0,0,0,35511600,1207000,76263624,5341600,4143700,0,0,0,0,6993700,0,0,130365710,0,130365710,0,143100,61440,130161170,3067961,23600,3044361,23.65,0,2024-03-19
Lincoln,2022,69150,0,0,0,0,239116600,37915100,859655400,3118600,101892574,0,0,0,0,17030600,0,0,1258798024,0,1258798024,0,1227800,75100,1257495124,13247671,52500,13195171,10.55,0,2024-03-19
Lisbon,2022,1165073,849,0,0,0,23688000,5894900,60484722,3735900,20869500,17578,0,0,0,4476900,0,0,120333422,0,120333422,0,710600,0,119622822,4094447,15100,4079347,34.28,0,2024-03-19
Litchfield,2022,313995,0,0,0,0,403823600,17879500,686346100,7689900,46642900,0,0,16963000,1722700,36898700,0,0,1218280395,482600,1217797795,30000,6602600,0,1211165195,22980104,325093,22655011,19.03,0,2024-03-19
Littleton,2022,1087530,0,0,0,0,80014670,73869970,331514063,12739400,156424400,0,0,0,0,68928200,0,0,724578233,0,724578233,105000,3657500,0,720815733,16500697,137300,16363397,23.06,0,2024-03-19
Livermore,2022,0,0,0,0,0,103900,0,32700,0,0,0,0,0,0,0,0,0,136600,0,136600,0,0,0,136600,0,,0,0.00,0,2024-03-19
Londonderry,2022,528385,0,1104600,0,0,1011766700,319070200,2398886400,30408000,785881200,165500,0,14351800,53410000,558329200,0,0,5173901985,1250500,5172651485,400000,30132500,8061200,5134057785,94138601,886500,93252101,18.48,0,2024-03-19
Loudon,2022,1826001,34029,10770,700,0,177372200,28288800,414268407,20026900,59036300,71243,0,0,11897300,9562800,0,0,722395450,441500,721953950,0,1019700,93500,720840750,13304023,188400,13115623,18.55,0,2024-03-19
Low & Burbank's Grant,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0,2024-03-19
Lyman,2022,1033454,0,0,0,0,21425150,270500,48392600,1746700,1364900,0,0,0,0,2591100,0,0,76824404,0,76824404,0,180000,43600,76600804,1486673,15800,1470873,19.45,0,2024-03-19
Lyme,2022,2664700,19900,0,22700,0,144790600,6865900,242355300,1339100,13691700,305300,0,0,0,5679900,0,0,417735100,0,417735100,67500,5040000,1732500,410895100,9846449,37500,9808949,23.98,0,2024-03-19
Lyndeborough,2022,952897,0,0,8000,700,60824700,2552600,146634604,2098700,2483700,255291,182505,0,0,2703700,0,0,218697397,0,218697397,0,760000,493000,217444397,4802089,39200,4762889,22.10,0,2024-03-19
Madbury,2022,498186,0,0,100,0,89349600,7131000,172315416,4285800,8896100,17784,0,0,289300,26024000,0,0,308807286,0,308807286,0,1902353,1370000,305534933,7687449,28250,7659199,25.27,0,2024-03-19
Madison,2022,1117044,0,0,0,0,232167500,7461300,326682837,2197400,18473800,0,0,0,0,12452200,0,0,600552081,0,600552081,0,587000,620688,599344393,9268030,91000,9177030,15.49,0,2024-03-19
Manchester,2022,95578,0,204900,0,0,2250849784,858617455,6268006138,3268900,3624648366,0,0,397300,162289965,226699800,0,0,13395078186,300000,13394778186,3787100,116339932,10002100,13264649054,241479934,1321580,240158354,18.24,0,2024-03-19
Marlborough,2022,881794,2273,0,0,0,57303500,8554900,127178880,1914610,17134080,56730,0,0,0,6894200,0,0,219920967,548600,219372367,15000,176400,147630,219033337,5711652,42900,5668752,26.11,0,2024-03-19
Marlow,2022,1035262,0,0,0,0,28151000,682000,40007850,1335920,2167800,0,0,0,0,1864500,0,0,75244332,0,75244332,0,142640,13500,75088192,1937179,13700,1923479,25.83,0,2024-03-19
Martin's Location,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433500,0,0,433500,0,433500,0,0,0,433500,6785,,6785,15.65,0,2024-03-19
Mason,2022,613180,0,0,0,15400,67274200,1510300,134167500,553800,2637300,0,5900,0,0,7004300,0,0,213781880,0,213781880,0,430000,22000,213329880,4328592,37200,4291392,20.33,0,2024-03-19
Meredith,2022,826708,0,0,0,0,1111914827,62518573,1056646618,8208500,107031082,17500,0,0,0,13054700,0,0,2360218508,0,2360218508,203100,1662900,2533774,2355818734,32894078,314625,32579453,13.97,0,2024-03-19
Merrimack,2022,342219,0,0,300,0,1466546500,293745000,2099389568,15938800,1017237181,5300,0,18911700,20683400,138732700,0,0,5071532668,1960600,5069572068,45000,28075000,2546900,5038905168,87378229,837080,86541149,17.38,0,2024-03-19
Middleton,2022,300600,0,0,200,0,72917000,1236700,98718478,5593500,7044800,31222,0,356000,0,3144700,0,0,189343200,0,189343200,30000,225000,2256000,186832200,4869167,39200,4829967,26.09,0,2024-03-19
Milan,2022,1187000,30156,0,0,0,44086800,1339800,72060000,6164900,8003900,0,0,0,17578100,4031800,0,0,154482456,0,154482456,15000,222100,425500,153819856,3108027,10900,3097127,20.37,0,2024-03-19
Milford,2022,775200,0,0,0,9300,363485223,80103625,1297579858,22973000,276131506,0,218500,2462200,6613800,33804900,0,0,2084157112,762942,2083394170,180000,10829200,730000,2071654970,43001076,218800,42782276,20.79,0,2024-03-19
Millsfield,2022,769895,0,0,0,0,3661300,357587,4109890,85130,229448,0,0,0,0,70508172,0,0,79721422,0,79721422,0,0,0,79721422,0,,0,0.00,0,2024-03-19
Milton,2022,812756,2851,0,200,0,159152600,7137200,260600185,21604300,39232600,6515,0,0,0,15992315,0,0,504541522,0,504541522,15000,3526664,261780,500738078,12237277,187250,12050027,24.48,0,2024-03-19
Monroe,2022,706934,0,0,0,0,23420900,801400,52496200,1679000,6380900,0,0,0,0,337045700,0,0,422531034,0,422531034,0,30000,0,422501034,4691905,8900,4683005,12.19,0,2024-03-19
Mont Vernon,2022,387174,0,203,0,0,97434600,1053100,220125730,1699620,1372240,0,0,0,0,3822600,0,0,325895267,0,325895267,15000,502390,229490,325148387,9108787,51500,9057287,28.03,0,2024-03-19
Moultonborough,2022,918682,323781,0,24800,0,2727287000,66612300,1977201647,4854500,86279600,141619,0,1910089,0,27739500,0,0,4893293518,0,4893293518,50000,925000,295400,4892023118,23355110,165200,23189910,4.78,0,2024-03-19
Nashua,2022,87092,0,0,1250,0,2311499900,1291668236,7344258441,106680100,2599800675,21575,0,128882400,164402600,151493300,0,0,14098795569,1800960,14096994609,3326200,145540800,15607866,13932519743,249860452,1438460,248421992,18.07,0,2024-03-19
Nelson,2022,743326,7901,0,0,0,89199000,1624100,66716290,838000,1849800,0,0,0,0,4813700,0,0,165792117,0,165792117,0,110000,166200,165515917,2332030,12000,2320030,14.12,0,2024-03-19
New Boston,2022,1618734,0,0,8439,0,351423906,11271200,535467488,2815900,26310500,30612,0,0,0,13985000,0,0,942931779,0,942931779,99000,3742650,849800,938240329,17980485,172500,17807985,19.18,0,2024-03-19
New Castle,2022,10908,0,387,0,0,659141900,32465800,307687101,0,74262100,0,0,0,0,1808700,0,0,1075376896,0,1075376896,0,450000,0,1074926896,4835253,23000,4812253,4.50,0,2024-03-19
New Durham,2022,995598,15512,0,1200,0,329391290,5057610,254493420,5237600,10583580,22700,0,0,0,5562400,0,0,611360910,0,611360910,15000,920000,584700,609841210,10921512,174750,10746762,17.92,0,2024-03-19
New Hampton,2022,1043780,0,0,0,0,103273068,11144478,151714730,10801620,29675157,61580,0,0,0,32599700,0,0,340314113,150000,340164113,0,571700,0,339592413,6537753,68600,6469153,19.39,0,2024-03-19
New Ipswich,2022,1054572,0,2436,0,0,114374300,6108200,340823300,4737100,20551100,0,0,0,0,12436700,0,0,500087708,0,500087708,30000,1325300,861200,497871208,11688785,241250,11447535,23.51,0,2024-03-19
New London,2022,546448,1757,0,0,0,488212800,26904800,710619100,72900,57113600,0,0,0,0,13456500,0,0,1296927905,763600,1296164305,30000,610000,1727300,1293797005,20501051,145750,20355301,15.86,0,2024-03-19
Newbury,2022,801613,0,0,0,12400,547609600,15364300,510204504,856300,26513200,0,100696,0,0,7160800,0,0,1108623413,0,1108623413,0,60000,160000,1108403413,12605897,129250,12476647,11.38,0,2024-03-19
Newfields,2022,132558,45350,7483,0,0,113193900,8372300,168612800,251200,16610600,0,0,0,0,1830717,0,0,309056908,0,309056908,0,2570550,148500,306337858,6418480,34200,6384280,20.96,0,2024-03-19
Newington,2022,87226,0,0,0,0,113772636,96871400,101549630,18900,316938079,0,0,0,26122200,323023400,0,0,978383471,16026800,962356671,0,2900000,0,959456671,9052226,42500,9009726,9.88,0,2024-03-19
Newmarket,2022,278974,0,0,100,0,283548387,54044970,534070050,8895300,116205850,4800,0,172017,0,5948500,0,0,1003168948,0,1003168948,60000,6684200,1147700,995277048,26853836,138500,26715336,26.99,0,2024-03-19
Newport,2022,1754602,0,8595,0,0,172035100,50125300,342808200,22442600,137751900,0,0,0,0,22850200,0,0,749776497,2600,749773897,60000,1500600,260140,747953157,15549688,106200,15443488,20.90,0,2024-03-19
Newton,2022,180161,1784,0,400,0,207528900,12641700,384143395,3231600,33857000,34905,0,97700,7298800,7344800,0,0,656361145,446200,655914945,30000,2777300,378500,652729145,14661452,143100,14518352,22.49,0,2024-03-19
North Hampton,2022,187543,600,25400,1950,0,404158750,59167750,598945540,39296200,91169860,125500,0,8256300,1555100,7714600,0,0,1210605093,0,1210605093,50000,9215300,262400,1201077393,20597787,168500,20429287,17.17,0,2024-03-19
Northfield,2022,1296110,2125,0,0,0,186114300,17652400,328589500,14495500,48101000,0,0,0,2751500,12261300,0,0,611263735,10000,611253735,45000,4659900,1436200,605112635,8573194,139750,8433444,14.55,0,2024-03-19
Northumberland,2022,806205,5499,0,0,0,16651350,1850700,48183750,2882820,14773690,0,0,0,15292300,35069000,0,0,135515314,0,135515314,45000,141140,168500,135160674,4394381,13500,4380881,33.06,0,2024-03-19
Northwood,2022,847612,0,0,175,0,423894957,36030700,377195386,23465100,72322000,36498,0,0,0,11851800,0,0,945644228,9405,945634823,75000,8077590,666012,936816221,11763413,76000,11687413,12.58,0,2024-03-19
Nottingham,2022,1269757,0,0,700,0,368049600,5091000,419157434,6042300,10177200,11066,0,107900,0,26260800,0,0,836167757,395600,835772157,0,6595000,1671580,827505577,15781462,285750,15495712,19.11,0,2024-03-19
Odell,2022,235578,0,0,0,0,47500,0,1983240,0,0,0,0,0,0,0,0,0,2266318,0,2266318,0,0,0,2266318,13666,,13666,6.03,0,2024-03-19
Orange,2022,612312,0,0,0,0,12720500,206100,21260200,1063400,455900,0,0,0,0,991500,0,0,37309912,0,37309912,0,115000,0,37194912,825712,2900,822812,22.23,0,2024-03-19
Orford,2022,1537110,954,0,0,0,37971900,3314000,103755088,2209700,7817300,44512,0,0,0,3440600,0,0,160091164,0,160091164,0,75000,5000,160011164,4515843,43200,4472643,28.25,0,2024-03-19
Ossipee,2022,1337609,0,0,0,0,297216700,51074300,344673700,19650800,72363400,0,0,242500,0,13100400,0,0,799659409,0,799659409,30000,3790000,2000,795837409,14601549,173000,14428549,18.38,0,2024-03-19
Pelham,2022,400003,0,0,0,0,803577742,42309980,1689294528,303800,95810150,0,0,5561623,32184897,36891616,0,0,2706334339,24100,2706310239,120000,8037333,126000,2698026906,46922751,283333,46639418,17.42,0,2024-03-19
Pembroke,2022,1039622,0,64800,0,0,184829200,38039400,430363800,2152200,113099200,0,0,0,9124200,16128300,100000,0,794940722,0,794940722,150000,410000,0,794380722,19747757,148000,19599757,24.90,0,2024-03-19
Peterborough,2022,1184725,0,9400,375,0,159265290,31244810,552069092,534100,169607200,29608,0,0,0,16009900,0,0,929954500,43000,929911500,60000,4840000,0,925011500,22822009,233750,22588259,25.86,0,2024-03-19
Piermont,2022,1755481,16056,0,0,0,46639600,747400,77027800,1321200,2133400,0,0,0,0,2668900,0,0,132309837,0,132309837,0,265000,103840,131940997,2634912,19400,2615512,19.99,0,2024-03-19
Pinkham's Grant,2022,0,0,0,0,0,0,174000,0,0,2646530,0,0,0,0,200600,0,0,3021130,0,3021130,0,0,0,3021130,45915,,45915,15.33,0,2024-03-19
Pittsburg,2022,3255740,0,0,0,0,97565400,5859300,165971200,4878900,14588300,0,0,0,2170600,9198000,0,0,303487440,0,303487440,0,30000,0,303457440,4809170,11500,4797670,15.90,0,2024-03-19
Pittsfield,2022,895917,0,35374,600,0,100646600,11451900,179516500,7681600,45260400,6000,0,3856200,0,7640100,0,0,356991191,0,356991191,30000,1443700,372600,355144891,8431665,61200,8370465,23.78,0,2024-03-19
Plainfield,2022,2187851,0,0,0,0,74071800,3219200,212012138,5574800,12112700,15062,0,0,0,7167100,0,0,316360651,150000,316210651,47000,1660300,2918575,311584776,7748428,59065,7689363,24.90,0,2024-03-19
Plaistow,2022,64704,0,0,0,0,304611900,112845800,692176642,381200,228874456,0,0,1471300,21392944,17197100,7000,0,1379023046,0,1379023046,75000,9345000,2029900,1367573146,25949091,163250,25785841,19.01,0,2024-03-19
Plymouth,2022,704889,32456,0,17500,0,67350383,45400335,232487245,3326900,124178650,36185,0,0,0,22524600,0,0,496059143,0,496059143,70000,464100,2700,495522343,15548589,68584,15480005,31.44,0,2024-03-19
Portsmouth,2022,52266,0,0,0,0,1245025400,634686923,2497022300,30572700,1927346505,0,0,0,55971000,133917485,0,0,6524594579,0,6524594579,300000,30015500,1082300,6493196779,98438343,537499,97900844,15.20,0,2024-03-19
Randolph,2022,144078,0,0,300,2600,23432500,569000,38510344,554100,2632500,4328,7928,0,2185900,10058300,0,0,78101878,0,78101878,0,0,277500,77824378,1300748,5000,1295748,16.92,0,2024-03-19
Raymond,2022,357713,0,1410,200,0,357605375,52283191,767350485,56080800,99700915,64900,0,1970000,0,27468900,0,0,1362883889,610100,1362273789,210960,13680480,3298750,1345083599,24567135,440500,24126635,18.29,0,2024-03-19
Richmond,2022,1404314,0,0,0,0,44759400,2393100,101913000,2924700,5274200,0,0,0,0,12825030,0,0,171493744,0,171493744,0,75000,73600,171345144,2514341,16200,2498141,14.74,0,2024-03-19
Rindge,2022,1370588,0,0,0,0,180659800,18529800,435429600,5222000,79635500,0,0,0,0,16879299,0,0,737726587,670747,737055840,30000,11233256,1986734,723805850,16647138,234000,16413138,23.03,0,2024-03-19
Rochester,2022,1145516,0,0,21500,0,441218266,193983000,1429158295,178693725,545797800,86500,0,0,34316300,92623500,0,0,2917044402,508400,2916536002,1166800,25983142,5312800,2884073260,71460117,686675,70773442,25.28,0,2024-03-19
Rollinsford,2022,469212,0,0,0,0,178071300,19326100,220343300,817600,50652800,0,0,0,321100,4531700,0,0,474533112,519900,474013212,0,1000000,0,473013212,7029339,51400,6977939,14.87,0,2024-03-19
Roxbury,2022,339942,0,0,0,0,4994500,185900,17034000,319500,895900,0,0,0,0,1069100,0,0,24838842,0,24838842,0,30000,37200,24771642,596275,1300,594975,24.13,0,2024-03-19
Rumney,2022,765475,30630,0,525,0,63418400,5754000,100988435,3181900,12749200,24465,0,0,0,14468400,0,0,201381430,0,201381430,30000,145000,16000,201190430,4606980,41300,4565680,23.00,0,2024-03-19
Rye,2022,125550,10800,0,0,0,1819920675,52514175,1304860965,4534100,49044935,0,0,2807700,0,14840400,0,0,3248659300,0,3248659300,0,3950000,456400,3244252900,22626531,146500,22480031,6.98,0,2024-03-19
Salem,2022,139672,0,0,500,0,1694713464,605202106,3141096386,66347200,894910290,8600,0,462400,16439200,124075900,0,0,6543395718,0,6543395718,1300000,27727400,1720600,6512647718,104367281,592000,103775281,16.05,0,2024-03-19
Salisbury,2022,1563643,0,0,0,0,72337000,615000,148702100,1991000,2937000,0,0,0,0,16890800,0,0,245036543,0,245036543,0,850000,240000,243946543,3878523,38100,3840423,15.96,0,2024-03-19
Sanbornton,2022,1749831,0,37927,0,293,247556800,4553400,254574316,2512800,19208500,43560,73771,0,225200,5618400,0,0,536154798,0,536154798,0,640000,740000,534774798,10618086,108700,10509386,19.87,0,2024-03-19
Sandown,2022,209160,0,180,100,0,235107129,4695170,433559120,14155200,6090380,10800,0,376500,0,7718900,0,0,701922639,0,701922639,30000,7881300,0,694011339,19676796,233500,19443296,28.37,0,2024-03-19
Sandwich,2022,1574960,107780,0,6328,0,219074191,5296500,214278335,800001,4647000,153429,0,0,0,9735600,0,0,455674124,0,455674124,15000,150000,565000,454944124,6542504,99503,6443001,14.41,0,2024-03-19
Sargent's Purchase,2022,0,0,0,0,0,0,1507100,0,0,381430,0,0,0,0,0,0,0,1888530,0,1888530,0,0,0,1888530,0,,0,0.00,0,2024-03-19
Seabrook,2022,15450,100,0,0,0,926379500,252276600,661345970,109518400,242027530,0,0,0,12089500,1561629750,0,0,3765282800,137317300,3627965500,45000,37573400,4063500,3586283600,45895124,418188,45476936,13.25,0,2024-03-19
Second College Grant,2022,710444,0,0,0,0,351000,0,346410,0,0,0,0,0,0,0,0,0,1407854,0,1407854,0,0,0,1407854,0,,0,0.00,0,2024-03-19
Sharon,2022,821817,0,0,0,0,14575300,108200,41297300,9100,909400,0,0,0,0,838400,0,0,58559517,0,58559517,0,40000,0,58519517,1357215,5100,1352115,23.21,0,2024-03-19
Shelburne,2022,581532,0,0,75,0,15914800,1724700,30710096,668400,9405600,13104,0,0,28114100,4944500,0,0,92076907,0,92076907,0,60000,153600,91863307,1368629,3700,1364929,15.28,0,2024-03-19
Somersworth,2022,136258,0,0,0,0,151991845,62079855,670404093,22595700,211799397,0,0,0,8613900,12487500,0,0,1140108548,0,1140108548,50000,3860300,1426100,1134772148,31847263,236000,31611263,28.09,0,2024-03-19
South Hampton,2022,371817,0,0,0,0,63959100,4293400,90795754,2765300,7827300,0,0,0,0,5583600,0,0,175596271,135000,175461271,0,1300000,504650,173656621,3441730,14840,3426890,19.86,0,2024-03-19
Springfield,2022,868047,11291,0,0,0,71079300,4629500,139351250,2945000,16627800,0,0,0,0,6558300,0,0,242070488,0,242070488,0,150000,338300,241582188,4954097,42700,4911397,20.54,0,2024-03-19
Stark,2022,596752,2186,0,0,0,24624700,931000,32954700,1915600,1428200,0,0,0,15847139,1845300,0,0,80145577,0,80145577,15000,45000,49200,80036377,1286748,8400,1278348,16.36,0,2024-03-19
Stewartstown,2022,1035456,0,0,0,0,26334355,833300,53858800,4817800,3991000,0,0,0,13072900,8064300,7300,0,112015211,0,112015211,0,67500,0,111947711,2699145,16300,2682845,24.36,0,2024-03-19
Stoddard,2022,878850,0,0,0,0,124505360,640000,161333280,1215050,2598330,0,0,0,0,12430200,0,0,303601070,0,303601070,0,260000,60200,303280870,4936293,16550,4919743,16.33,0,2024-03-19
Strafford,2022,1761500,0,0,4500,0,246580870,2377630,440213180,5937800,8367120,105400,0,181300,0,19486100,9000,0,725024400,0,725024400,0,740000,0,724284400,12384571,45700,12338871,17.13,0,2024-03-19
Stratford,2022,1668722,0,0,5800,0,10786100,722500,44215200,3057700,4485000,53100,0,0,35541100,5063300,0,0,105598522,0,105598522,45000,277600,0,105275922,1978918,7300,1971618,19.16,0,2024-03-19
Stratham,2022,343309,1286,0,3400,0,420552700,84322000,940725673,3940500,149120100,155827,0,778100,9338900,17752800,0,0,1627034595,0,1627034595,45000,6264000,0,1620725595,30288382,280300,30008082,18.71,0,2024-03-19
Success,2022,665586,0,0,0,0,7674800,0,3756710,0,0,0,0,0,0,61300,0,0,12158396,0,12158396,0,0,0,12158396,54379,,54379,4.48,0,2024-03-19
Sugar Hill,2022,394030,1119,4069,0,0,54950500,1093700,103909290,94000,3759800,21310,0,0,0,3512000,0,0,167739818,0,167739818,0,25000,0,167714818,3436943,15400,3421543,20.52,0,2024-03-19
Sullivan,2022,499224,5834,0,0,0,14757200,688900,40905700,2784100,1497600,0,0,0,0,4953400,0,0,66091958,0,66091958,0,292100,81600,65718258,1730234,6250,1723984,26.42,0,2024-03-19
Sunapee,2022,463012,0,0,0,0,715414700,14870300,693535800,1637700,31910300,0,0,0,0,25323000,0,0,1483154812,1696400,1481458412,0,110000,0,1481348412,20692664,73500,20619164,13.99,0,2024-03-19
Surry,2022,459345,0,0,0,0,36752200,1295000,88953600,992800,2540400,0,0,0,0,5167200,0,0,136160545,0,136160545,0,5000,21674,136133871,2181711,20400,2161311,16.06,0,2024-03-19
Sutton,2022,1115365,0,0,0,0,144008200,3258500,163890940,106620,7881270,0,0,0,0,4477219,0,0,324738114,0,324738114,0,470000,408000,323860114,7818729,73000,7745729,24.16,0,2024-03-19
Swanzey,2022,1586119,0,0,0,0,163855434,23265701,342274299,14875900,74659344,5580,0,235900,0,17737614,0,0,638495891,362930,638132961,60000,1143300,749482,636180179,15726025,248250,15477775,25.00,0,2024-03-19
Tamworth,2022,1578259,1142,0,0,0,111482000,16840300,209964841,9916300,43304000,58062,0,313000,0,9871300,0,0,403329204,3600,403325604,0,812500,1226230,401286874,9525247,79100,9446147,23.77,0,2024-03-19
Temple,2022,636402,2443,0,100,8300,45472500,1757000,107485809,874600,6108500,22004,127114,0,0,2908000,0,0,165402772,0,165402772,0,50000,291600,165061172,4116235,31600,4084635,24.96,0,2024-03-19
Thomson & Meserve's Purchase,2022,0,0,0,0,0,300,4518250,0,0,1729270,0,0,0,0,27600,0,0,6275420,0,6275420,0,0,0,6275420,13707,,13707,2.19,0,2024-03-19
Thornton,2022,569203,0,0,0,0,130027600,3529000,295395500,5600900,10686800,0,0,280700,0,8628000,0,0,454717703,25000,454692703,30000,480000,278060,453904643,9071318,98000,8973318,20.01,0,2024-03-19
Tilton,2022,305575,0,412890,0,0,88198900,102108300,205404902,18358500,205763800,0,0,427700,16219400,22090300,0,0,659290267,150000,659140267,69200,1819200,213900,657037967,10509017,116000,10393017,16.07,0,2024-03-19
Troy,2022,276911,0,0,0,0,24485751,2142500,82131174,3000000,6947000,0,0,0,0,21079300,0,0,140062636,0,140062636,15000,198000,5400,139844236,4280756,51300,4229456,30.84,0,2024-03-19
Tuftonboro,2022,1038728,0,0,100,0,977556700,16959100,795420927,25491800,16200200,11873,0,396200,0,16421100,0,0,1849496728,0,1849496728,0,260000,0,1849236728,11894117,103150,11790967,6.44,0,2024-03-19
Unity,2022,1316706,0,0,0,0,55178800,1132700,56933087,5972000,12406900,0,0,0,0,3137000,0,0,136077193,0,136077193,0,232000,16800,135828393,3933587,55700,3877887,28.99,0,2024-03-19
Wakefield,2022,794512,6659,0,0,0,499686800,8405200,588192500,16320700,26175800,0,0,0,0,13684300,0,0,1153266471,0,1153266471,60000,1088200,138200,1151980071,14092187,289500,13802687,12.25,0,2024-03-19
Walpole,2022,2136486,22344,22545,600,0,197366000,30949000,375994642,2648500,92711600,108318,0,0,0,15839200,0,0,717799235,0,717799235,30000,492500,683300,716593435,11688033,81100,11606933,16.33,0,2024-03-19
Warner,2022,1886880,0,0,5084,0,83159430,6078650,190672330,2850910,36157511,53856,0,0,0,8746400,0,0,329611051,0,329611051,30000,1975000,1257437,326348614,9263457,87600,9175857,28.42,0,2024-03-19
Warren,2022,569153,0,0,0,0,23498600,472300,62932600,3739900,2686400,0,0,0,0,17793500,0,0,111692453,368700,111323753,0,165000,0,111158753,2112561,24400,2088161,19.19,0,2024-03-19
Washington,2022,985407,0,0,0,0,116242100,1125700,121111083,1455500,2898000,0,0,0,0,3275800,0,0,247093590,0,247093590,0,160000,93490,246840100,5386337,27450,5358887,21.84,0,2024-03-19
