PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
12	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
16	FPO	EXTRA FPL OPEN	1.00	UNITS	500	1	2024-11-04
16	SPR2	WET/CONCEALED	12932.00	S.F.	20400	1	2024-11-04
16	FPL1	FIREPLACE 1 ST	1.00	UNITS	1800	1	2024-11-04
16	ELV2	4 STOP PASSNGR	1.00	UNITS	37100	1	2024-11-04
16	FPL	FIREPLCE/MET F	9.00	UNITS	7100	1	2024-11-04
16	SPR1	SPRINKLERS-WET	2541.00	S.F.	3400	1	2024-11-04
16	GNRB	SV GENERATOR	0.00	UNITS	0	1	2024-11-04
20	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
21	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-04
22	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-04
23	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
23	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
26	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-11-04
27	FPL1	FIREPLACE 1 ST	1.00	UNITS	3500	1	2024-11-04
28	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
30	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-04
34	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
34	SNA	SAUNA	37.00	S.F.	4100	1	2024-11-04
41	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
41	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
42	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
57	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-04
58	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
58	LIFT	LIFT	1.00	UNITS	2000	1	2024-11-04
58	GNRA	SV GENERATOR	0.00	UNITS	0	1	2024-11-04
60	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-04
60	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-04
62	NFP3	NONFCTG FPL3	1.00	UNITS	2300	1	2024-11-04
62	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-04
65	FPL3	2 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
65	FPLD	DELUX FIREPLAC	1.00	UNITS	9000	1	2024-11-04
68	HRTH	HEARTH-INC FLU	1.00	UNITS	1100	1	2024-11-04
76	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
76	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
77	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
78	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
80	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-11-04
81	FPO	EXTRA FPL OPEN	1.00	UNITS	200	1	2024-11-04
81	FPL3	2 STORY CHIM	1.00	UNITS	1000	1	2024-11-04
83	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
84	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-11-04
86	FPL3	2 STORY CHIM	3.00	UNITS	10800	1	2024-11-04
86	NFPO	NONFNCTG FPO	4.00	UNITS	1700	1	2024-11-04
86	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-11-04
87	HRTH	HEARTH-INC FLU	3.00	UNITS	4500	1	2024-11-04
88	FLU1	FLUE CONCRETE	1.00	UNITS	300	1	2024-11-04
89	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
89	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-04
91	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
93	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-04
93	HRTA	HEARTH-FLDPR	1.00	UNITS	900	1	2024-11-04
93	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
94	JAC	JETTUB	1.00	UNITS	1500	1	2024-11-04
95	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
99	A/C	AIR CONDITION	1596.00	S.F.	3400	1	2024-11-04
99	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-11-04
101	A/C	AIR CONDITION	1100.00	S.F.	2100	1	2024-11-04
103	FPL3	2 STORY CHIM	1.00	UNITS	3100	1	2024-11-04
104	A/C	AIR CONDITION	4700.00	S.F.	10200	1	2024-11-04
104	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-11-04
106	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	2	2024-11-04
106	HRTH	HEARTH-INC FLU	2.00	UNITS	2600	1	2024-11-04
106	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
106	GNRA	SV GENERATOR	2.00	UNITS	0	1	2024-11-04
107	FPL	FIREPLCE/MET F	1.00	UNITS	1000	2	2024-11-04
107	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
107	GNRB	SV GENERATOR	1.00	UNITS	7700	1	2024-11-04
118	MEZ	MEZANINE LC	1080.00	UNITS	5900	1	2024-11-04
124	LFT1	LIFT-LIGHT	2.00	UNITS	3500	2	2024-11-04
125	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
127	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-11-04
127	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-04
127	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
137	FLU2	FLUE BRICK	1.00	UNITS	500	1	2024-11-04
138	ELV1	2 STOP/PSNGR	1.00	UNITS	39600	1	2024-11-04
138	SPR1	SPRINKLERS-WET	10697.00	S.F.	23100	1	2024-11-04
139	VLT1	VAULT	48.00	S.F.	3500	1	2024-11-04
140	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-11-04
140	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
142	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-11-04
143	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
144	HRTA	HEARTH-FLDPR	1.00	UNITS	700	1	2024-11-04
152	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
161	GNRB	SV GENERATOR	1.00	UNITS	9500	1	2024-11-04
167	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
168	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
170	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-04
170	VLT1	VAULT	572.00	S.F.	60400	2	2024-11-04
170	GNRB	SV GENERATOR	1.00	UNITS	10600	2	2024-11-04
173	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
173	FPL	FIREPLCE/MET F	1.00	UNITS	1600	1	2024-11-04
173	 	 	0.00		 	1	2024-11-04
176	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
179	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-04
180	FPL3	2 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
180	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-04
182	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
182	ELEV	SV ELEVATOR	1.00	S.F.	18700	1	2024-11-04
182	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-04
182	JAC	JETTUB	1.00	UNITS	0	1	2024-11-04
187	GNRA	SV GENERATOR	1.00	UNITS	4100	1	2024-11-04
188	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
195	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-11-04
201	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
202	FPL2	1.5 STORY CHIM	1.00	UNITS	4400	1	2024-11-04
202	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-11-04
206	FPL	FIREPLCE/MET F	1.00	UNITS	1700	1	2024-11-04
206	GNRA	SV GENERATOR	1.00	UNITS	0	1	2024-11-04
209	HRTA	HEARTH-FLDPR	1.00	UNITS	700	1	2024-11-04
220	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
220	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-11-04
221	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
222	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
224	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
229	HRTH	HEARTH-INC FLU	2.00	UNITS	3200	1	2024-11-04
233	HRTH	HEARTH-INC FLU	1.00	UNITS	900	1	2024-11-04
235	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-04
236	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
248	FPL1	FIREPLACE 1 ST	1.00	UNITS	2800	1	2024-11-04
249	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-04
