PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
251	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
251	GNRA	SV GENERATOR	1.00	UNITS	4200	1	2024-11-04
253	HRTA	HEARTH-FLDPR	2.00	UNITS	1400	1	2024-11-04
254	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
254	HRTH	HEARTH-INC FLU	2.00	UNITS	3200	1	2024-11-04
255	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
257	HRTH	HEARTH-INC FLU	1.00	UNITS	1000	1	2024-11-04
258	FPL2	1.5 STORY CHIM	2.00	UNITS	6800	1	2024-11-04
259	MEZ2	FINISHED	2060.00	S.F.	23900	1	2024-11-04
259	MEZ1	MEZZANINE-UNF	683.00	S.F.	5300	1	2024-11-04
259	ELV1	2 STOP/PSNGR	2.00	UNITS	94600	1	2024-11-04
259	SPR1	SPRINKLERS-WET	13206.00	S.F.	34100	1	2024-11-04
259	GNRB	SV GENERATOR	1.00	UNITS	9500	1	2024-11-04
271	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
279	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
279	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
287	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-11-04
287	FPO	EXTRA FPL OPEN	2.00	UNITS	1800	1	2024-11-04
287	HOTT	HOT TUB	1.00	UNITS	3000	1	2024-11-04
288	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-04
290	GNRA	SV GENERATOR	1.00	UNITS	5400	1	2024-11-04
294	FPL2	1.5 STORY CHIM	3.00	UNITS	10800	1	2024-11-04
294	HRTA	HEARTH-FLDPR	1.00	UNITS	600	1	2024-11-04
299	FPL2	1.5 STORY CHIM	1.00	UNITS	2900	1	2024-11-04
300	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
301	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
301	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
306	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
307	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
307	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
308	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-04
308	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-04
309	FPL3	2 STORY CHIM	1.00	UNITS	3700	1	2024-11-04
310	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
310	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-04
313	FPL3	2 STORY CHIM	1.00	UNITS	4200	1	2024-11-04
313	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-04
316	FPL2	1.5 STORY CHIM	1.00	UNITS	3500	1	2024-11-04
316	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
317	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
319	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
319	SNA	SAUNA	1.00	S.F.	100	1	2024-11-04
321	FPL1	FIREPLACE 1 ST	1.00	UNITS	2000	1	2024-11-04
323	GNR	SM SV GENERATOR	1.00	UNITS	2300	1	2024-11-04
324	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
330	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-04
334	HRTH	HEARTH-INC FLU	2.00	UNITS	2800	1	2024-11-04
334	HRTA	HEARTH-FLDPR	1.00	UNITS	700	1	2024-11-04
334	FPL	FIREPLCE/MET F	1.00	UNITS	1400	1	2024-11-04
336	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
337	FPL3	2 STORY CHIM	1.00	UNITS	4400	1	2024-11-04
340	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-04
340	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
341	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	2	2024-11-04
343	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-04
343	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
345	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-04
345	NFPO	NONFNCTG FPO	3.00	UNITS	1400	1	2024-11-04
345	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-04
346	GNRB	SV GENERATOR	1.00	UNITS	9500	1	2024-11-04
348	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
351	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
351	NFPO	NONFNCTG FPO	1.00	UNITS	500	1	2024-11-04
351	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-04
359	GNRA	SV GENERATOR	1.00	UNITS	0	1	2024-11-04
361	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
365	FPL2	1.5 STORY CHIM	3.00	UNITS	10000	1	2024-11-04
365	FPO	EXTRA FPL OPEN	2.00	UNITS	1800	1	2024-11-04
365	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
368	FPL3	2 STORY CHIM	1.00	UNITS	4200	1	2024-11-04
369	FPL2	1.5 STORY CHIM	1.00	UNITS	3700	1	2024-11-04
371	FPL3	2 STORY CHIM	1.00	UNITS	4400	1	2024-11-04
371	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-04
372	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
376	HRTH	HEARTH-INC FLU	3.00	UNITS	3700	1	2024-11-04
376	VLT1	VAULT	45.00	S.F.	3400	1	2024-11-04
377	FPLC	1 ST CAMP FPL	1.00	UNITS	1600	1	2024-11-04
380	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
382	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
384	HRTH	HEARTH-INC FLU	1.00	UNITS	1100	1	2024-11-04
385	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
385	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
391	NFPL	NONFCTG FP/MTL	1.00	UNITS	500	1	2024-11-04
392	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
392	JAC	JETTUB	1.00	UNITS	1400	1	2024-11-04
395	FPL	FIREPLCE/MET F	1.00	UNITS	1300	1	2024-11-04
395	GNRA	SV GENERATOR	1.00	UNITS	4200	1	2024-11-04
398	FPL	FIREPLCE/MET F	2.00	UNITS	3400	1	2024-11-04
398	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-11-04
399	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
402	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
402	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-04
402	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-04
402	NFPO	NONFNCTG FPO	2.00	UNITS	1100	1	2024-11-04
402	HOTT	HOT TUB	1.00	UNITS	3500	1	2024-11-04
408	HRTH	HEARTH-INC FLU	1.00	UNITS	1100	1	2024-11-04
408	SAU	SAUNA	48.00	S.F.	3900	1	2024-11-04
415	NFP2	NONFCTG FPL2	2.00	UNITS	3500	1	2024-11-04
415	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
418	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
427	FPL	FIREPLCE/MET F	1.00	UNITS	1200	1	2024-11-04
429	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
429	GNRA	SV GENERATOR	1.00	UNITS	4200	1	2024-11-04
435	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-11-04
437	FPL1	FIREPLACE 1 ST	1.00	UNITS	2800	1	2024-11-04
437	NFPO	NONFNCTG FPO	1.00	UNITS	400	1	2024-11-04
438	FPL3	2 STORY CHIM	1.00	UNITS	3300	1	2024-11-04
438	FPO	EXTRA FPL OPEN	1.00	UNITS	800	1	2024-11-04
441	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-04
441	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-04
441	SHWR	EXT SHOWER	1.00	UNITS	300	1	2024-11-04
442	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-04
446	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
446	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
446	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
447	FPL1	FIREPLACE 1 ST	1.00	UNITS	2600	1	2024-11-04
448	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-04
448	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-04
450	FPL2	1.5 STORY CHIM	3.00	UNITS	10100	1	2024-11-04
450	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-04
450	HOTT	HOT TUB	1.00	UNITS	2900	1	2024-11-04
454	FPL3	2 STORY CHIM	1.00	UNITS	3500	1	2024-11-04
454	HRTA	HEARTH-FLDPR	2.00	UNITS	1300	1	2024-11-04
457	FPL3	2 STORY CHIM	2.00	UNITS	8500	1	2024-11-04
457	NFPO	NONFNCTG FPO	4.00	UNITS	2000	1	2024-11-04
457	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-04
457	NFP3	NONFCTG FPL3	2.00	UNITS	4700	1	2024-11-04
458	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
460	FPL3	2 STORY CHIM	1.00	UNITS	4200	1	2024-11-04
460	JAC	JETTUB	1.00	UNITS	1400	1	2024-11-04
461	FPL	FIREPLCE/MET F	1.00	UNITS	1700	1	2024-11-04
461	GNRA	SV GENERATOR	1.00	UNITS	5400	1	2024-11-04
462	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
462	FLU2	FLUE BRICK	1.00	UNITS	600	1	2024-11-04
469	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-04
472	FPL3	2 STORY CHIM	2.00	UNITS	7900	1	2024-11-04
472	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-11-04
472	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
473	FPL3	2 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
474	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
475	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-04
475	FPL2	1.5 STORY CHIM	1.00	UNITS	2900	1	2024-11-04
476	FPL2	1.5 STORY CHIM	1.00	UNITS	1600	1	2024-11-04
476	FPO	EXTRA FPL OPEN	1.00	UNITS	400	1	2024-11-04
476	GNRA	SV GENERATOR	1.00	UNITS	1900	1	2024-11-04
476	FPL	FIREPLCE/MET F	1.00	UNITS	1800	2	2024-11-04
479	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-11-04
479	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-04
480	HRTH	HEARTH-INC FLU	2.00	UNITS	2400	1	2024-11-04
480	JAC	JETTUB	1.00	UNITS	1100	1	2024-11-04
482	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
484	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-04
484	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
487	NFP1	NONFCTG FPL1	1.00	UNITS	1100	1	2024-11-04
487	FPL2	1.5 STORY CHIM	1.00	UNITS	2600	1	2024-11-04
488	FPL3	2 STORY CHIM	2.00	UNITS	8000	1	2024-11-04
488	NFPO	NONFNCTG FPO	2.00	UNITS	1000	1	2024-11-04
488	HRTA	HEARTH-FLDPR	1.00	UNITS	800	1	2024-11-04
490	FLU1	FLUE CONCRETE	1.00	UNITS	500	1	2024-11-04
492	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
493	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
493	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-04
494	FPL3	2 STORY CHIM	1.00	UNITS	4900	1	2024-11-04
494	GNRA	SV GENERATOR	1.00	UNITS	5300	1	2024-11-04
495	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-04
495	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
505	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-04
505	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-04
506	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
507	GNRA	SV GENERATOR	1.00	UNITS	2200	1	2024-11-04
509	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
510	FPL2	1.5 STORY CHIM	1.00	UNITS	3400	1	2024-11-04
510	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
510	GNRA	SV GENERATOR	1.00	UNITS	4100	1	2024-11-04
513	HRTH	HEARTH-INC FLU	2.00	UNITS	2400	1	2024-11-04
514	HRTH	HEARTH-INC FLU	2.00	UNITS	2700	1	2024-11-04
515	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
517	NFP3	NONFCTG FPL3	1.00	UNITS	2100	1	2024-11-04
517	NFPO	NONFNCTG FPO	2.00	UNITS	900	1	2024-11-04
517	HRTH	HEARTH-INC FLU	2.00	UNITS	2700	1	2024-11-04
518	HRTH	HEARTH-INC FLU	2.00	UNITS	3100	1	2024-11-04
519	HRTA	HEARTH-FLDPR	1.00	UNITS	600	1	2024-11-04
519	FLU1	FLUE CONCRETE	1.00	UNITS	400	1	2024-11-04
522	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-04
527	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-04
530	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-04
532	HRTH	HEARTH-INC FLU	1.00	UNITS	700	1	2024-11-04
533	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-04
533	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-04
533	JAC	JETTUB	1.00	UNITS	1400	1	2024-11-04
537	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-04
537	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
537	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
537	JAC	JETTUB	1.00	UNITS	1500	1	2024-11-04
538	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
538	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-04
538	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
538	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	1	2024-11-04
538	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-04
540	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-11-04
540	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
546	HRTB	HEARTH - FP	1.00	UNITS	800	1	2024-11-04
558	JAC	JETTUB	1.00	UNITS	1300	1	2024-11-04
559	FPL3	2 STORY CHIM	1.00	UNITS	3800	1	2024-11-04
559	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
563	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
563	FPO	EXTRA FPL OPEN	2.00	UNITS	1900	1	2024-11-04
563	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
564	FPL	FIREPLCE/MET F	1.00	UNITS	1600	1	2024-11-04
565	FPL2	1.5 STORY CHIM	1.00	UNITS	3300	1	2024-11-04
565	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-04
565	SHR1	SHOWER STALL	1.00	UNITS	700	1	2024-11-04
569	SPR1	SPRINKLERS-WET	13860.00	S.F.	26600	1	2024-11-04
569	JAC	JETTUB	6.00	UNITS	6300	1	2024-11-04
569	GNRB	SV GENERATOR	1.00	UNITS	7000	1	2024-11-04
570	FPL3	2 STORY CHIM	1.00	UNITS	1500	1	2024-11-04
571	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-04
572	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-04
575	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
575	GNRA	SV GENERATOR	1.00	UNITS	4400	1	2024-11-04
575	FPL	FIREPLCE/MET F	1.00	UNITS	1400	1	2024-11-04
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	3	2024-11-04
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	2	2024-11-04
576	FPO	EXTRA FPL OPEN	1.00	UNITS	1100	2	2024-11-04
576	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-04
576	FPLD	DELUX FIREPLAC	1.00	UNITS	9900	1	2024-11-04
576	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-04
576	FPL1	FIREPLACE 1 ST	1.00	UNITS	3600	1	2024-11-04
578	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-04
578	FPO	EXTRA FPL OPEN	1.00	UNITS	1000	1	2024-11-04
579	FPL3	2 STORY CHIM	2.00	UNITS	8500	1	2024-11-04
579	FPO	EXTRA FPL OPEN	5.00	UNITS	5100	1	2024-11-04
579	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	1	2024-11-04
584	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-04
584	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-11-04
584	FPO	EXTRA FPL OPEN	1.00	UNITS	900	1	2024-11-04
593	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-04
593	GNRA	SV GENERATOR	1.00	UNITS	3700	1	2024-11-04
