PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
1	TRAN	TRANSCANADA	 	 	1.00	UNITS	0	1	2024-11-04
2	NHEC	UTILITY	 	 	1.00	UNITS	1848900	1	2024-11-04
2	NHECR	NHEC ROW	 	 	1.00	UNITS	397800	1	2024-11-04
3	PSNH	UTILITY	 	 	1.00	UNITS	1601800	1	2024-11-04
4	GRMT	UTILITY	 	 	1.00	UNITS	10300	1	2024-11-04
5	FGR1	GARAGE-AVE	 	 	484.00	S.F.	6200	1	2024-11-04
5	SHD2	SHED GOOD	 	 	576.00	S.F.	6300	1	2024-11-04
5	SLOA	FP SILO	 	 	1.00	UNITS	1000	1	2024-11-04
5	LNT	LEAN-TO	 	 	288.00	S.F.	600	1	2024-11-04
5	GRN1	GREEN HOUSE-RS	 	 	408.00	S.F.	6400	1	2024-11-04
8	SHD1	SHED AVERAGE	 	 	150.00	S.F.	900	1	2024-11-04
8	FGR6	W/LOFT-POOR	 	 	640.00	S.F.	9300	1	2024-11-04
8	SHP4	W/IMPROV AGE	 	 	240.00	S.F.	3400	1	2024-11-04
8	SHD3	LOW COST	 	 	220.00	S.F.	1000	1	2024-11-04
8	LNT	LEAN-TO	 	 	56.00	S.F.	300	1	2024-11-04
9	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1200	1	2024-11-04
9	IMP	IMPLEMENT SHED	 	 	204.00	S.F.	1600	1	2024-11-04
9	WDK	WOOD DECK	 	 	192.00	S.F.	1600	1	2024-11-04
10	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-11-04
10	LNT	LEAN-TO	 	 	200.00	S.F.	900	1	2024-11-04
10	LNT	LEAN-TO	 	 	64.00	S.F.	300	1	2024-11-04
10	PAD	CONC PAD	 	 	240.00	S.F.	1400	1	2024-11-04
10	LNT	LEAN-TO	 	 	40.00	S.F.	100	1	2024-11-04
10	FPLF	FIREPL/2 ST	 	 	1.00	UNITS	5500	1	2024-11-04
10	SPL5	AG POOL RECTANGLE	 	 	360.00	S.F.	6300	1	2024-11-04
10	WDK	WOOD DECK	 	 	192.00	S.F.	2600	1	2024-11-04
12	SHD1	SHED AVERAGE	 	 	160.00	S.F.	1400	1	2024-11-04
13	BRN3	1 STORY W/LOFT	 	 	490.00	S.F.	4300	1	2024-11-04
13	IMP	IMPLEMENT SHED	 	 	418.00	S.F.	4900	2	2024-11-04
16	PAVA	SV PAVING MED	 	 	1.00	UNITS	5000	1	2024-11-04
16	LT5	MERC VAP/FLU	 	 	6.00	UNITS	5900	1	2024-11-04
20	SHD2	SHED GOOD	 	 	336.00	S.F.	6700	1	2024-11-04
20	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
21	SHD3	LOW COST	 	 	192.00	S.F.	500	1	2024-11-04
22	FGR1	GARAGE-AVE	 	 	780.00	S.F.	20000	1	2024-11-04
22	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1100	1	2024-11-04
22	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
23	BRN3	1 STORY W/LOFT	 	 	936.00	S.F.	10300	1	2024-11-04
23	BRN3	1 STORY W/LOFT	 	 	1026.00	S.F.	10400	1	2024-11-04
25	SHD1	SHED AVERAGE	 	 	48.00	S.F.	200	1	2024-11-04
26	FGR5	W/LOFT GOOD	 	 	572.00	S.F.	26800	1	2024-11-04
26	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
26	PAT1	PATIO-AVG	 	 	80.00	S.F.	500	1	2024-11-04
27	SHD2	SHED GOOD	 	 	238.00	S.F.	3100	1	2024-11-04
27	PAT1	PATIO-AVG	 	 	480.00	S.F.	1400	1	2024-11-04
27	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-11-04
28	FGR1	GARAGE-AVE	 	 	576.00	S.F.	14700	1	2024-11-04
28	SHD1	SHED AVERAGE	 	 	240.00	S.F.	2200	1	2024-11-04
28	TEN	TENNIS COURT	 	 	4320.00	S.F.	8600	1	2024-11-04
28	SHP2	WORK SHOP GOOD	 	 	576.00	S.F	16400	1	2024-11-04
28	WDK	WOOD DECK	 	 	20.00	S.F.	100	1	2024-11-04
28	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
30	SHD2	SHED GOOD	 	 	180.00	S.F.	2000	1	2024-11-04
30	BRN3	1 STORY W/LOFT	 	 	420.00	S.F.	4300	1	2024-11-04
30	LNT	LEAN-TO	 	 	180.00	S.F.	300	1	2024-11-04
30	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
32	BRN8	POLE BRN/RUN N	 	 	775.00	S.F.	3700	1	2024-11-04
33	FGR1	GARAGE-AVE	 	 	624.00	S.F.	14000	1	2024-11-04
34	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
36	CAB1	CABIN-MINIMAL	 	 	120.00	S.F.	2900	1	2024-11-04
36	WDK	WOOD DECK	 	 	180.00	S.F.	1000	1	2024-11-04
37	SHD2	SHED GOOD	 	 	192.00	S.F.	3800	1	2024-11-04
41	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-11-04
41	PAT1	PATIO-AVG	 	 	384.00	S.F.	2300	1	2024-11-04
42	FGR5	W/LOFT GOOD	 	 	864.00	S.F.	38200	1	2024-11-04
42	CAB1	CABIN-MINIMAL	 	 	120.00	S.F.	2200	1	2024-11-04
42	GRRM	RM IN DET FGR	 	 	264.00	S.F.	4000	1	2024-11-04
42	SHD1	SHED AVERAGE	 	 	192.00	S.F.	2600	1	2024-11-04
43	SHD2	SHED GOOD	 	 	135.00	S.F.	1800	1	2024-11-04
50	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
51	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
52	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
53	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
54	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
55	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
56	PAV1	PAVING-ASPHALT	 	 	1700.00	S.F.	1900	1	2024-11-04
56	IMPR	CONSOL COMMUNICATION	 	 	1.00	UNITS	298900	1	2024-11-04
56	IMPROW	CONSOL ROW	 	 	1.00	UNITS	35200	1	2024-11-04
57	SHD4	CUSTOM SHED	 	 	240.00	S.F.	5600	1	2024-11-04
57	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
58	PAVA	SV PAVING MED	 	 	1.00	UNITS	5000	1	2024-11-04
60	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
62	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
64	BRN3	1 STORY W/LOFT	 	 	384.00	S.F.	3900	1	2024-11-04
64	SHD1	SHED AVERAGE	 	 	88.00	S.F.	500	1	2024-11-04
64	SHP1	WORK SHOP AVE	 	 	627.00	S.F.	6100	1	2024-11-04
64	SHED	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
64	FOP	SCREEN HOUSE	 	 	336.00	S.F.	800	1	2024-11-04
64	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
65	STB2	W/IMPROVEMENTS	 	 	569.00	S.F.	12400	1	2024-11-04
65	SHDF	SHED - FP	 	 	1.00	UNITS	1000	1	2024-11-04
65	LNT	LEAN-TO	 	 	192.00	S.F.	900	1	2024-11-04
65	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
65	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
66	BRN5	2 STORY	 	 	816.00	S.F.	26800	1	2024-11-04
66	BN13	BARN AV FIN UP	 	 	360.00	S.F.	11900	1	2024-11-04
66	OBP	PORCH OUTBLDG	 	 	90.00	S.F.	1100	1	2024-11-04
66	LNT	LEAN-TO	 	 	102.00	S.F.	500	1	2024-11-04
66	WDK	WOOD DECK	 	 	136.00	S.F.	1800	1	2024-11-04
66	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
66	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
68	BRN4	1 STY LFT&BSMT	 	 	864.00	S.F.	18100	1	2024-11-04
68	SHD1	SHED AVERAGE	 	 	80.00	S.F.	500	1	2024-11-04
68	SHD3	LOW COST	 	 	96.00	S.F.	300	1	2024-11-04
68	LNT	LEAN-TO	 	 	84.00	S.F.	100	1	2024-11-04
68	IMP	IMPLEMENT SHED	 	 	784.00	S.F.	5100	1	2024-11-04
68	BRN8	POLE BRN/RUN N	 	 	224.00	S.F.	900	1	2024-11-04
76	SLR4	SOLAR PV 10-19.99 KW	 	 	1.00	UNITS	30000	1	2024-11-04
77	SHD1	SHED AVERAGE	 	 	90.00	S.F.	1200	1	2024-11-04
77	LNT	LEAN-TO	 	 	135.00	S.F.	600	1	2024-11-04
78	BRN3	1 STORY W/LOFT	 	 	560.00	S.F.	4900	1	2024-11-04
78	FGR3	GARAGE-LOWCOST	 	 	288.00	S.F.	2000	1	2024-11-04
79	FGR6	W/LOFT-POOR	 	 	684.00	S.F.	6900	1	2024-11-04
79	SHD1	SHED AVERAGE	 	 	144.00	S.F.	900	1	2024-11-04
80	BRN3	1 STORY W/LOFT	 	 	1026.00	S.F.	11900	1	2024-11-04
80	LNT	LEAN-TO	 	 	72.00	S.F.	100	1	2024-11-04
80	LNT	LEAN-TO	 	 	99.00	S.F.	200	1	2024-11-04
80	SHP5	W/IMPROV GOOD	 	 	364.00	S.F.	9600	1	2024-11-04
80	PLT1	PLTRY HSE 1 ST	 	 	64.00	S.F.	600	1	2024-11-04
81	SHD2	SHED GOOD	 	 	136.00	S.F.	1000	1	2024-11-04
81	OBP	PORCH OUTBLDG	 	 	140.00	S.F.	700	1	2024-11-04
81	FGR1	GARAGE-AVE	 	 	528.00	S.F.	5900	1	2024-11-04
81	IMP	IMPLEMENT SHED	 	 	336.00	S.F.	1500	1	2024-11-04
82	SHD3	LOW COST	 	 	70.00	S.F.	500	1	2024-11-04
82	FGR2	GARAGE-GOOD	 	 	572.00	S.F.	12600	1	2024-11-04
82	SHDD	SHED FLDPR	 	 	1.00	UNITS	400	1	2024-11-04
83	SHD3	LOW COST	 	 	132.00	S.F.	700	1	2024-11-04
83	SHD1	SHED AVERAGE	 	 	81.00	S.F.	1200	1	2024-11-04
84	PAVD	SV PAVING XL	 	 	1.00	UNITS	10000	1	2024-11-04
84	FN5	FENCE-10'CHAIN	 	 	80.00	L.F.	700	1	2024-11-04
84	FN1	FENCE-4' CHAIN	 	 	400.00	L.F.	1700	1	2024-11-04
84	FN3	FENCE-6' CHAIN	 	 	370.00	L.F.	2200	1	2024-11-04
84	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1200	1	2024-11-04
84	SHD2	SHED GOOD	 	 	64.00	S.F.	1300	1	2024-11-04
84	TEMP	TEMP BLDG	 	 	1.00	UNITS	41300	1	2024-11-04
86	SHP2	WORK SHOP GOOD	 	 	760.00	S.F	10800	1	2024-11-04
86	SHP2	WORK SHOP GOOD	 	 	920.00	S.F	13100	1	2024-11-04
87	BRN4	1 STY LFT&BSMT	 	 	3256.00	S.F.	45600	1	2024-11-04
87	SHD1	SHED AVERAGE	 	 	42.00	S.F.	400	1	2024-11-04
87	PATH	PATIO -FIELDPR	 	 	1.00	UNITS	2000	1	2024-11-04
88	SHD2	SHED GOOD	 	 	288.00	S.F.	2500	1	2024-11-04
89	SHD2	SHED GOOD	 	 	120.00	S.F.	2200	1	2024-11-04
89	FGRB	S STORY GAR AVE	 	 	864.00	UNITS	41500	1	2024-11-04
89	LNTG	SV LEAN-TO	 	 	1.00	UNITS	1000	1	2024-11-04
92	FGR1	GARAGE-AVE	 	 	336.00	S.F.	6500	1	2024-11-04
92	SHD2	SHED GOOD	 	 	475.00	S.F.	4200	1	2024-11-04
92	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
93	FGR1	GARAGE-AVE	 	 	672.00	S.F.	15100	1	2024-11-04
93	SHD2	SHED GOOD	 	 	80.00	S.F.	1800	1	2024-11-04
93	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
94	FGR4	W/LOFT-AVG	 	 	384.00	S.F	13800	1	2024-11-04
94	FGR7	W/LOFT EXCELL	 	 	572.00	S.F.	35500	1	2024-11-04
94	PATF	PATIO -FIELDPR	 	 	1.00	UNITS	1000	1	2024-11-04
95	BRN5	2 STORY	 	 	1200.00	S.F.	19700	1	2024-11-04
99	MSC2	AMENITY	 	 	1.00	UNIT	92000	1	2024-11-04
101	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
101	MSC3	AMMENITIES	 	 	1.00	UNIT	187000	1	2024-11-04
102	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
103	FGR1	GARAGE-AVE	 	 	576.00	S.F.	11100	1	2024-11-04
103	SHD1	SHED AVERAGE	 	 	240.00	S.F.	1400	1	2024-11-04
104	FGR1	GARAGE-AVE	 	 	1416.00	S.F.	27200	1	2024-11-04
104	PAVE	SV PAVING XXL	 	 	1.00	UNITS	25000	1	2024-11-04
105	BRN3	1 STORY W/LOFT	 	 	792.00	S.F.	16100	1	2024-11-04
105	IMP	IMPLEMENT SHED	 	 	324.00	S.F.	1100	1	2024-11-04
105	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
106	SHD2	SHED GOOD	 	 	192.00	S.F.	2500	1	2024-11-04
106	GRN3	COMM PLASTIC	 	 	576.00	S.F.	300	1	2024-11-04
106	SHD1	SHED AVERAGE	 	 	48.00	S.F.	700	1	2024-11-04
106	PAVD	SV PAVING XL	 	 	1.00	UNITS	10000	1	2024-11-04
106	PATJ	SV PATIO	 	 	1.00	UNITS	5000	1	2024-11-04
106	PAT1	PATIO-AVG	 	 	1560.00	S.F.	9400	1	2024-11-04
107	LNT	LEAN-TO	 	 	80.00	S.F.	200	2	2024-11-04
107	PAVC	SV PAVING LG	 	 	1.00	UNITS	7500	1	2024-11-04
107	LT10	W/DOUBLE LIGHT	 	 	1.00	UNITS	2000	1	2024-11-04
111	SHP1	WORK SHOP AVE	 	 	300.00	S.F.	4400	1	2024-11-04
116	BRN1	BARN - 1 STORY	 	 	4140.00	S.F.	23800	1	2024-11-04
116	FGR1	GARAGE-AVE	 	 	576.00	S.F.	15700	1	2024-11-04
116	PLT1	PLTRY HSE 1 ST	 	 	576.00	S.F.	1000	1	2024-11-04
116	MLK	MILK HOUSE	 	 	100.00	S.F.	600	1	2024-11-04
116	SPL5	AG POOL RECTANGLE	 	 	384.00	S.F.	6700	1	2024-11-04
117	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-11-04
117	PATH	PATIO -FIELDPR	 	 	1.00	UNITS	2000	1	2024-11-04
117	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-11-04
120	LNTG	SV LEAN-TO	 	 	1.00	UNITS	200	1	2024-11-04
122	FGR3	GARAGE-LOWCOST	 	 	660.00	S.F.	7600	1	2024-11-04
122	LNT	LEAN-TO	 	 	70.00	S.F.	100	1	2024-11-04
123	SHD1	SHED AVERAGE	 	 	80.00	S.F.	500	1	2024-11-04
123	SHDA	SHED FLDPR	 	 	1.00	UNITS	100	1	2024-11-04
123	SHD2	SHED GOOD	 	 	140.00	S.F.	1800	1	2024-11-04
124	SHD1	SHED AVERAGE	 	 	144.00	S.F.	900	2	2024-11-04
124	FGR3	GARAGE-LOWCOST	 	 	240.00	S.F.	5000	2	2024-11-04
125	BRN4	1 STY LFT&BSMT	 	 	660.00	S.F.	13900	1	2024-11-04
125	FGR2	GARAGE-GOOD	 	 	864.00	S.F.	30400	1	2024-11-04
125	LNT	LEAN-TO	 	 	176.00	S.F.	500	1	2024-11-04
127	SHP2	WORK SHOP GOOD	 	 	240.00	S.F	5100	1	2024-11-04
127	LNT	LEAN-TO	 	 	180.00	S.F.	400	1	2024-11-04
127	LNT	LEAN-TO	 	 	144.00	S.F.	300	1	2024-11-04
128	SHP1	WORK SHOP AVE	 	 	336.00	S.F.	7400	1	2024-11-04
129	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
133	STB1	STABLE-LC	 	 	3888.00	S.F.	42000	1	2024-11-04
137	SHDB	SHED FLDPR	 	 	1.00	UNITS	200	1	2024-11-04
138	PAT2	PATIO-GOOD	 	 	390.00	S.F.	2600	1	2024-11-04
138	PAVB	SV PAVING SML	 	 	1.00	UNITS	1500	1	2024-11-04
140	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-11-04
142	SHD1	SHED AVERAGE	 	 	120.00	S.F.	600	1	2024-11-04
142	LNT	LEAN-TO	 	 	88.00	S.F.	300	1	2024-11-04
143	SHDB	SHED FLDPR	 	 	70.00	UNITS	14000	1	2024-11-04
148	SHD1	SHED AVERAGE	 	 	80.00	S.F.	1200	1	2024-11-04
149	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-11-04
152	SHD1	SHED AVERAGE	 	 	140.00	S.F.	1300	1	2024-11-04
